,n1,n2,p-values
0,84.0,12.0,1.2415138200202247e-38
1,82.0,14.0,3.6150149234552964e-46
2,86.0,10.0,2.902768270184742e-115
3,84.0,12.0,5.8838477819685536e-86
4,88.0,8.0,4.901806002618573e-29
5,90.0,6.0,6.123805360674836e-13
6,86.0,10.0,1.1192925913051996e-17
7,87.0,9.0,1.4773588737484578e-08
8,82.0,14.0,1.000714314933386e-28
9,85.0,11.0,1.0387992850746902e-10
10,84.0,12.0,8.571878785514746e-12
11,84.0,12.0,2.3353838365127318e-35
12,82.0,14.0,2.7662183920370675e-13
13,88.0,8.0,2.3507527891241774e-28
14,91.0,5.0,3.9138773228560566e-18
15,87.0,9.0,6.6273062672764e-23
16,82.0,14.0,2.3476993048668686e-37
17,86.0,10.0,8.877575447103383e-14
18,85.0,11.0,1.419527431565688e-51
19,87.0,9.0,1.0116878011717375e-08
20,86.0,10.0,3.605978331589108e-13
21,89.0,7.0,2.084223507963651e-36
22,88.0,8.0,5.82026877846962e-28
23,84.0,12.0,2.3943129058463178e-17
24,81.0,15.0,6.802851510907374e-14
25,86.0,10.0,2.1763360674386136e-08
26,84.0,12.0,1.1570873866137401e-15
27,84.0,12.0,7.435823804192895e-13
28,88.0,8.0,2.745213059095321e-19
29,83.0,13.0,4.3100451876200995e-09
30,86.0,10.0,1.4955593966430524e-31
31,87.0,9.0,5.080198453696719e-19
32,80.0,16.0,2.6582437248439707e-29
33,88.0,8.0,3.249618041374141e-22
34,85.0,11.0,2.963323812297973e-19
35,86.0,10.0,1.2260044827329187e-21
36,83.0,13.0,2.816857597700957e-53
37,81.0,15.0,5.806003489692557e-18
38,83.0,13.0,1.3505736854065413e-15
39,86.0,10.0,3.3344182149687824e-57
40,88.0,8.0,1.1224353539702414e-22
41,84.0,12.0,1.6125144024953366e-28
42,86.0,10.0,2.723347169313709e-24
43,84.0,12.0,5.4044660048194556e-12
44,91.0,5.0,3.203925204284668e-08
45,87.0,9.0,3.563015805612643e-10
46,85.0,11.0,1.6412839169789177e-19
47,84.0,12.0,6.968052098855961e-19
48,88.0,8.0,3.265231350036831e-07
49,85.0,11.0,4.561895101172096e-19
50,85.0,11.0,1.915951114440295e-11
51,86.0,10.0,6.550111557306522e-16
52,86.0,10.0,1.8103390405125327e-11
53,85.0,11.0,1.9853336880161104e-39
54,81.0,15.0,4.908731306326819e-27
55,89.0,7.0,2.2889510169078976e-17
56,83.0,13.0,3.2316169936996374e-92
57,84.0,12.0,4.8002969307269784e-107
58,85.0,11.0,2.6137083554025896e-100
59,84.0,12.0,4.304005285944197e-22
60,85.0,11.0,1.8162272831630352e-12
61,83.0,13.0,6.157615163532721e-22
62,84.0,12.0,1.5615703127428064e-10
63,79.0,17.0,3.807135137144742e-12
64,84.0,12.0,1.554369311492326e-14
65,76.0,20.0,1.1219590204089057e-25
66,88.0,8.0,1.835767331170434e-05
67,83.0,13.0,2.439802039267113e-59
68,86.0,10.0,2.6643037586618648e-11
69,81.0,15.0,8.467247192961182e-39
70,87.0,9.0,3.736647038368365e-24
71,87.0,9.0,6.51567235083704e-27
72,92.0,4.0,1.343921597495996e-24
73,86.0,10.0,1.3545909292746497e-53
74,89.0,7.0,5.548980671357167e-12
75,79.0,17.0,1.8442629459394133e-40
76,85.0,11.0,8.96008736859006e-09
77,87.0,9.0,6.4232334107278025e-22
78,91.0,5.0,4.257098683300465e-34
79,88.0,8.0,3.3812955545202804e-299
80,84.0,12.0,5.2756652354875544e-14
81,84.0,12.0,2.8165138241253537e-08
82,87.0,9.0,1.9433730480414982e-12
83,87.0,9.0,2.5254919170479137e-06
84,85.0,11.0,8.363081222379821e-48
85,79.0,17.0,2.7593913292033534e-58
86,87.0,9.0,2.0488175489364898e-09
87,84.0,12.0,2.712029805233146e-22
88,84.0,12.0,1.846232381760864e-40
89,87.0,9.0,3.5849380840280316e-09
90,86.0,10.0,5.708522061550272e-06
91,88.0,8.0,5.795748327025686e-13
92,85.0,11.0,7.101265804144353e-74
93,81.0,15.0,3.097122376790111e-47
94,86.0,10.0,2.4543715247758862e-23
95,85.0,11.0,2.3964575667407397e-48
96,83.0,13.0,4.567299244371871e-25
97,83.0,13.0,6.4610235412536594e-52
98,77.0,19.0,4.080225649267664e-48
99,88.0,8.0,2.1807478273162052e-11
100,79.0,17.0,3.023938619434609e-35
101,86.0,10.0,6.212379808402683e-14
