,n1,n2,p-values
0,60.0,36.0,0.39195072038373324
1,80.0,16.0,0.2597055428848657
2,78.0,18.0,0.2510591803690462
3,84.0,12.0,0.0758215846001556
4,86.0,10.0,0.11742984378844601
5,81.0,15.0,0.11170836399562234
6,75.0,21.0,0.08197088604723984
7,76.0,20.0,0.009282330782197682
8,69.0,27.0,0.1762617755090896
9,86.0,10.0,0.030022635449620926
10,84.0,12.0,0.15855431443415874
11,86.0,10.0,0.1265858564053705
12,84.0,12.0,0.3426028940082144
13,84.0,12.0,0.20833727081572073
14,67.0,29.0,0.1758097203475652
15,82.0,14.0,0.052179567342061924
16,71.0,25.0,0.22070586238913076
17,79.0,17.0,0.45503022074996413
18,85.0,11.0,0.031187775010276107
19,82.0,14.0,0.18983065723591686
20,84.0,12.0,0.2152398401776574
21,83.0,13.0,0.0002979389353378179
22,88.0,8.0,0.1980872619703138
23,81.0,15.0,0.15099050615374066
24,84.0,12.0,0.06747665295087626
25,76.0,20.0,0.2939219872752887
26,75.0,21.0,0.2196122955723948
27,84.0,12.0,0.019553817317934864
28,83.0,13.0,0.39463422794347913
29,79.0,17.0,0.34083037125824
30,87.0,9.0,0.15499717440157146
31,84.0,12.0,0.45926517195493705
32,64.0,32.0,0.3364276689721872
33,87.0,9.0,0.47792720722943355
34,82.0,14.0,0.079783118114444
35,90.0,6.0,0.00621627303541454
36,88.0,8.0,0.08788684846607714
37,91.0,5.0,0.010116615412541956
38,85.0,11.0,4.2000429299880907e-05
39,84.0,12.0,0.07632962123005628
40,86.0,10.0,0.19614432691200084
41,73.0,23.0,0.4280796450756013
42,88.0,8.0,0.40095475127847363
43,86.0,10.0,0.016222827084602685
44,86.0,10.0,0.00020062885118010514
45,72.0,24.0,0.4245290026592044
46,86.0,10.0,0.035489207900825576
47,87.0,9.0,0.2581725796136144
48,66.0,30.0,0.3253639860216615
49,87.0,9.0,5.131560104785003e-06
50,85.0,11.0,2.682843349350418e-09
51,84.0,12.0,0.0770744863209757
52,75.0,21.0,0.14522041037609995
53,87.0,9.0,0.07232024759256991
54,88.0,8.0,0.3407248400722755
55,89.0,7.0,0.06792567117471926
56,80.0,16.0,0.00473852121231215
57,85.0,11.0,0.1395175228621946
58,69.0,27.0,0.47628031180946506
59,87.0,9.0,0.11755699930029845
