,n1,n2,p-values
0,83.0,13.0,1.7361215636622316e-20
1,84.0,12.0,8.30639005452543e-80
2,80.0,16.0,1.8116309314719416e-18
3,87.0,9.0,0.0027982754421533016
4,83.0,13.0,1.374497090667389e-06
5,82.0,14.0,1.1255982473398691e-20
6,86.0,10.0,0.0002808529563470287
7,85.0,11.0,1.0428125299818706e-10
8,87.0,9.0,4.21154098565688e-08
9,82.0,14.0,1.986833227930913e-11
10,84.0,12.0,1.546243192848605e-19
11,84.0,12.0,2.806869741008911e-09
12,86.0,10.0,0.00032096861307737823
13,87.0,9.0,0.0004922195705768557
14,81.0,15.0,9.458608997246754e-32
15,85.0,11.0,1.6303566886547494e-07
16,88.0,8.0,5.298755581697961e-39
17,89.0,7.0,4.659334236148649e-80
18,80.0,16.0,1.3043201628923587e-20
19,86.0,10.0,3.2847022440635776e-06
20,88.0,8.0,1.3965700758443525e-07
21,85.0,11.0,4.934848041571915e-10
22,81.0,15.0,2.8879309981139395e-34
23,83.0,13.0,2.8956407549902017e-20
24,86.0,10.0,2.27804579628032e-08
25,82.0,14.0,1.807100293211745e-30
26,88.0,8.0,2.4833302575607233e-10
27,91.0,5.0,2.8646789420864408e-18
28,88.0,8.0,8.23411578331611e-12
29,90.0,6.0,4.5799104064185746e-114
30,81.0,15.0,1.2942158093298966e-21
31,85.0,11.0,0.0002010581676479572
32,88.0,8.0,1.3832073213536785e-40
33,86.0,10.0,7.934456117121991e-08
34,84.0,12.0,1.3774135377006888e-06
35,89.0,7.0,9.895082907634949e-14
36,86.0,10.0,0.00016642564420658016
37,87.0,9.0,2.3329042348378583e-30
38,87.0,9.0,6.182832135144196e-13
39,85.0,11.0,7.206427173770708e-07
40,81.0,15.0,4.97100748940437e-93
41,85.0,11.0,6.069677027141505e-06
42,87.0,9.0,9.798914669687947e-07
43,81.0,15.0,1.6138466034959904e-05
44,88.0,8.0,1.3919527753991487e-06
45,80.0,16.0,1.2780625906430247e-07
46,87.0,9.0,1.1996784184882221e-08
47,85.0,11.0,5.223962997773144e-06
48,82.0,14.0,1.446094954973545e-13
49,88.0,8.0,3.035737609443092e-35
50,84.0,12.0,2.947872201033884e-07
51,86.0,10.0,8.756600474052331e-08
52,79.0,17.0,1.9703695903934434e-11
53,83.0,13.0,7.377714804878686e-22
54,87.0,9.0,3.3213540273634596e-32
55,83.0,13.0,9.615543705903942e-06
56,87.0,9.0,2.6110640339816233e-06
57,79.0,17.0,2.598552692127438e-99
58,81.0,15.0,1.4154089718247573e-05
59,87.0,9.0,1.2064054101262023e-06
60,87.0,9.0,0.00036272392452482347
61,88.0,8.0,0.0001598272879212487
62,84.0,12.0,3.619935267061811e-18
63,86.0,10.0,0.00040026653069516195
64,88.0,8.0,8.588408187807657e-23
65,85.0,11.0,1.7867647022899727e-15
66,80.0,16.0,1.3008946684937375e-54
67,89.0,7.0,4.716920064743603e-40
68,86.0,10.0,0.0033666520953571522
69,90.0,6.0,2.6694578221193862e-05
70,84.0,12.0,4.276442664720306e-08
71,89.0,7.0,1.3459128420451743e-06
72,87.0,9.0,0.0009419622865660599
73,85.0,11.0,0.00015773932579879306
74,87.0,9.0,4.3061906071276626e-30
75,84.0,12.0,5.742089760767135e-32
76,87.0,9.0,1.2347551523386199e-07
77,86.0,10.0,0.0001934215114055553
78,90.0,6.0,0.00018898899515347876
79,91.0,5.0,4.639383527704898e-63
80,84.0,12.0,7.286995172905177e-25
81,88.0,8.0,1.3117646801540711e-06
82,85.0,11.0,0.0007819517542235082
83,83.0,13.0,3.584290503833505e-07
84,84.0,12.0,2.8369484364408804e-09
85,86.0,10.0,0.0011493928213298008
86,85.0,11.0,2.5961810493168305e-05
87,82.0,14.0,1.3964823354296613e-05
88,87.0,9.0,1.9479874702128415e-10
89,88.0,8.0,7.395380000135342e-09
90,87.0,9.0,5.23824073045273e-10
91,89.0,7.0,9.463066319595707e-09
92,87.0,9.0,9.084410782527425e-08
93,85.0,11.0,1.5923391370112375e-14
94,90.0,6.0,0.01533973332125118
95,84.0,12.0,1.647738832978312e-87
96,88.0,8.0,4.762236703844665e-08
97,85.0,11.0,3.4611988479076437e-07
98,84.0,12.0,0.00048810820307915024
99,81.0,15.0,1.5188475764050615e-07
100,82.0,14.0,0.002066319587125125
101,87.0,9.0,1.0773545124259567e-05
102,84.0,12.0,7.139805779523947e-23
103,89.0,7.0,1.2130257193586008e-05
104,87.0,9.0,7.880986290551611e-18
105,84.0,12.0,2.0568140931103323e-34
106,85.0,11.0,2.089014727172474e-10
107,84.0,12.0,2.2933925478805583e-05
108,89.0,7.0,6.037645095375398e-06
109,83.0,13.0,1.9154348590030315e-09
110,83.0,13.0,8.18521156663049e-08
111,84.0,12.0,0.0001623314068970981
112,91.0,5.0,0.0905524586446449
113,86.0,10.0,1.6761536822326856e-13
114,89.0,7.0,9.733195331179525e-06
115,88.0,8.0,7.445562715903386e-05
116,85.0,11.0,8.245959829217484e-19
117,87.0,9.0,9.79430015548023e-11
118,83.0,13.0,4.495221676875565e-10
119,82.0,14.0,7.830522955126256e-17
120,84.0,12.0,6.374273136240361e-20
121,83.0,13.0,1.3413971658260044e-09
122,85.0,11.0,8.901939196699014e-21
123,86.0,10.0,5.323952431188081e-07
124,81.0,15.0,5.6011335174614454e-08
125,82.0,14.0,0.00013081283250953788
126,86.0,10.0,0.0014181293061329636
127,88.0,8.0,9.812427119629545e-22
128,86.0,10.0,8.784399792785174e-06
129,84.0,12.0,6.705849289765085e-06
130,87.0,9.0,3.66527765279554e-18
131,87.0,9.0,2.177486598405835e-37
132,86.0,10.0,2.0598810056058195e-28
133,80.0,16.0,4.0928578678626827e-33
134,89.0,7.0,0.0002994195271361619
135,92.0,4.0,0.0004950160354286506
136,83.0,13.0,4.941008414700681e-09
137,85.0,11.0,0.0005140157214095686
138,85.0,11.0,1.7095029883160728e-06
139,85.0,11.0,4.403883115395993e-08
140,87.0,9.0,1.199025371400695e-15
141,85.0,11.0,2.3648972359417758e-11
142,86.0,10.0,6.288546427043538e-31
143,87.0,9.0,4.958539255175889e-06
144,87.0,9.0,0.00011497988409719819
145,92.0,4.0,1.1776798329325475e-135
146,83.0,13.0,2.3776144730445518e-07
147,85.0,11.0,2.5874247280767037e-12
148,80.0,16.0,2.9329680383507838e-08
149,89.0,7.0,0.0007246373134001641
150,87.0,9.0,7.234791993554769e-20
151,90.0,6.0,4.514710283894021e-05
152,85.0,11.0,2.4694022391787077e-15
153,83.0,13.0,9.548397550041312e-09
154,89.0,7.0,1.115401194131976e-09
155,85.0,11.0,2.1439066620135836e-10
156,88.0,8.0,1.767127973607409e-07
157,87.0,9.0,1.1393103300262685e-09
158,82.0,14.0,0.0013673901779799292
159,87.0,9.0,1.6795894461662906e-64
160,85.0,11.0,1.1462414716235051e-14
161,86.0,10.0,8.927160321121758e-13
162,84.0,12.0,2.34930398523562e-05
163,84.0,12.0,1.773133420250173e-13
164,87.0,9.0,0.00044001429198317334
165,84.0,12.0,2.6741674924623595e-10
166,88.0,8.0,0.0033713095546189257
167,85.0,11.0,9.290712681243628e-05
168,83.0,13.0,2.6111695622787282e-08
169,84.0,12.0,8.393504795909795e-09
170,84.0,12.0,7.397259941560986e-23
171,82.0,14.0,1.1484226226973267e-23
172,87.0,9.0,1.3727527850618537e-20
173,89.0,7.0,1.3295817880510779e-12
174,87.0,9.0,2.6426734763143268e-06
175,83.0,13.0,2.6528948882889203e-45
176,81.0,15.0,6.24168575731177e-07
177,86.0,10.0,6.157031714645738e-08
178,88.0,8.0,2.5377587126491116e-06
179,83.0,13.0,0.0005033728451314595
180,90.0,6.0,6.917424455500234e-13
181,85.0,11.0,1.089511550831807e-05
182,82.0,14.0,9.420124831812992e-07
183,92.0,4.0,0.00017511366282975564
184,78.0,18.0,4.796308277339729e-23
185,82.0,14.0,3.590117039365922e-12
186,83.0,13.0,1.1354924013394316e-07
187,89.0,7.0,2.7711153694059376e-14
188,84.0,12.0,4.6161568455499305e-12
189,84.0,12.0,2.4748509982804223e-16
190,84.0,12.0,1.1862416482579989e-06
191,89.0,7.0,2.3347066247027926e-08
192,85.0,11.0,1.5506130735070083e-24
193,89.0,7.0,1.6519901252111598e-09
194,90.0,6.0,0.0005696560302384525
195,89.0,7.0,9.154277785421333e-07
196,88.0,8.0,2.2547298431145383e-20
197,91.0,5.0,5.601493749352423e-07
198,84.0,12.0,4.8000574514129096e-21
199,87.0,9.0,0.0005869618436073046
200,86.0,10.0,3.7882474667399273e-06
201,85.0,11.0,5.475911153134859e-10
202,82.0,14.0,7.819344343250239e-14
203,87.0,9.0,1.77470839771415e-13
204,86.0,10.0,1.732713311725917e-16
205,83.0,13.0,1.1518832884158565e-07
206,89.0,7.0,3.743986533315625e-10
207,87.0,9.0,1.4246512556586075e-22
208,85.0,11.0,3.831951958784729e-17
209,86.0,10.0,2.715344311736921e-05
210,87.0,9.0,3.54514527625856e-26
211,89.0,7.0,5.42296878401211e-65
212,86.0,10.0,8.214120836191862e-10
213,88.0,8.0,2.4398212514253355e-06
214,85.0,11.0,1.840178308563026e-10
215,86.0,10.0,0.00018388922604312398
216,86.0,10.0,1.6342946978350383e-12
217,81.0,15.0,2.8266647763427325e-06
218,88.0,8.0,3.2557187932269002e-46
219,87.0,9.0,0.00046024778830526606
220,75.0,21.0,5.122172624999984e-06
221,85.0,11.0,2.2004088722752784e-15
222,81.0,15.0,0.00010886348741078065
223,86.0,10.0,8.890213692992224e-18
224,88.0,8.0,9.668051427210216e-08
225,85.0,11.0,4.355875858368171e-35
226,85.0,11.0,5.122868801828265e-25
227,86.0,10.0,1.1372753736779983e-09
228,83.0,13.0,0.0005032759414590285
229,86.0,10.0,1.6343727060968884e-23
230,88.0,8.0,1.042566718670833e-14
231,84.0,12.0,2.087649673778314e-32
232,87.0,9.0,8.490055846248701e-13
233,83.0,13.0,0.0013415701640423637
234,83.0,13.0,2.9722427581827997e-08
235,85.0,11.0,3.955637487710416e-06
236,83.0,13.0,2.512882776085942e-23
237,89.0,7.0,2.0613130865344777e-06
238,85.0,11.0,1.1358627856055782e-11
239,84.0,12.0,2.5728625081296194e-05
240,90.0,6.0,9.699536409486177e-05
241,86.0,10.0,0.00046058543621736855
242,93.0,3.0,7.657899508026415e-06
243,90.0,6.0,2.3983502800856073e-12
244,89.0,7.0,3.4134650759096204e-17
245,85.0,11.0,4.6809854111663176e-08
246,90.0,6.0,7.012109363192238e-06
247,88.0,8.0,1.9734112705721407e-12
248,90.0,6.0,3.2987879541537673e-62
249,90.0,6.0,1.4452479181956441e-12
250,84.0,12.0,3.470367535578783e-13
251,86.0,10.0,0.00016414922919864573
252,83.0,13.0,1.2508686030616202e-32
253,84.0,12.0,0.00015815505490490323
254,82.0,14.0,8.413711950954675e-06
255,91.0,5.0,0.0008734560650312923
256,85.0,11.0,1.785279518374169e-83
257,86.0,10.0,6.494594838178612e-06
258,85.0,11.0,1.2563042137056327e-24
259,82.0,14.0,2.932345524478073e-08
260,83.0,13.0,2.2579426291930466e-20
261,84.0,12.0,9.28487266035158e-09
262,86.0,10.0,1.1083519323342703e-07
