,0
0,17
1,14
2,15
3,18
4,18
5,17
6,13
7,17
8,18
9,16
10,16
11,18
12,16
13,14
14,17
15,19
16,16
17,16
18,18
19,14
20,14
21,14
22,17
23,14
24,15
25,14
26,19
27,14
28,18
29,16
30,17
31,17
32,17
33,13
34,16
35,17
36,18
37,16
38,16
39,16
40,16
41,19
42,18
43,14
44,17
45,19
46,18
47,17
48,17
49,12
50,16
51,15
52,17
53,14
54,17
55,18
56,19
57,15
58,17
59,13
60,17
61,17
62,17
63,17
64,17
65,14
66,17
67,17
68,19
69,15
70,15
71,16
72,18
73,19
74,13
75,17
76,18
77,18
78,13
79,18
80,18
81,12
82,17
83,16
84,20
85,14
86,18
87,15
88,17
89,13
90,13
91,16
92,16
93,18
94,15
95,17
96,13
97,16
98,16
99,19
100,17
101,18
102,18
103,13
104,15
105,18
106,18
107,18
108,15
109,13
110,15
111,17
112,17
113,19
114,16
115,19
116,14
117,15
118,18
119,14
120,19
121,14
122,18
123,18
124,15
125,19
126,17
127,16
128,19
129,14
130,16
131,12
132,14
133,14
134,14
135,18
136,17
137,18
138,17
139,18
140,18
141,17
142,16
143,16
144,18
145,17
146,14
147,17
148,15
149,14
150,13
151,14
152,18
153,20
154,14
155,14
156,18
157,19
158,18
159,17
160,16
161,13
162,15
163,19
164,17
165,18
166,14
167,19
168,18
169,17
170,17
171,16
172,18
173,18
174,15
175,17
176,17
177,18
178,15
179,14
180,17
181,18
182,17
183,15
184,18
185,19
186,19
187,17
188,17
189,18
190,16
191,20
192,16
193,18
194,15
195,17
196,14
197,18
198,17
199,18
200,18
201,18
202,17
203,18
204,16
205,18
206,18
207,17
208,17
209,17
210,19
211,19
212,17
213,16
214,17
215,17
216,17
217,19
218,17
219,17
220,18
221,18
222,15
223,12
224,13
225,18
226,15
227,17
228,18
229,18
230,15
231,17
232,15
233,18
234,15
235,15
236,17
237,19
238,15
239,15
240,18
241,18
242,17
243,17
244,17
245,19
246,16
247,18
248,13
249,18
250,17
251,18
252,18
253,18
254,18
255,18
256,15
257,15
258,18
259,18
260,18
261,18
262,16
263,16
264,18
265,18
266,15
267,17
268,17
269,15
270,18
271,17
272,17
273,16
274,17
275,18
276,12
277,16
278,14
279,19
280,17
281,18
282,16
283,18
284,18
285,15
286,14
287,17
288,13
289,19
290,16
291,16
292,15
293,16
294,17
295,15
296,17
297,19
298,17
299,18
300,16
301,15
302,18
303,16
304,16
305,16
306,18
307,15
308,16
309,17
310,19
311,18
312,18
313,17
314,13
315,18
316,18
317,18
318,17
319,17
320,17
321,18
322,16
323,18
324,11
325,17
326,16
327,16
328,18
329,16
330,16
331,18
332,18
333,17
334,17
335,18
336,18
337,17
338,17
339,14
340,14
341,16
342,18
343,16
344,16
345,17
346,18
347,16
348,18
349,19
350,17
351,19
352,14
353,16
354,18
355,17
356,14
357,18
358,17
359,19
360,18
361,16
362,13
363,18
364,16
365,18
366,17
367,17
368,16
369,19
370,18
371,15
372,17
373,13
374,16
375,14
376,14
377,15
378,19
379,16
380,17
381,16
382,17
383,17
384,15
385,17
386,19
387,17
388,16
389,18
390,15
391,16
392,17
393,18
394,19
395,15
396,18
397,18
398,16
399,15
400,18
401,18
402,18
403,17
404,17
405,19
406,19
407,12
408,16
409,16
410,11
411,16
412,19
413,19
414,17
415,18
416,19
417,19
418,16
419,15
420,14
421,14
422,12
423,18
424,17
425,16
426,18
427,17
428,14
429,17
430,17
431,18
432,16
433,18
434,17
435,14
436,18
437,14
438,15
439,14
440,17
441,15
442,16
443,18
444,14
445,19
446,17
447,17
448,16
449,14
450,14
451,17
452,13
453,14
454,18
455,15
456,16
457,19
458,16
459,18
460,19
461,15
462,17
463,16
464,18
465,17
466,19
467,12
468,13
469,18
470,17
471,19
472,16
473,19
474,15
475,18
476,18
477,16
478,17
479,17
480,19
481,18
482,18
483,17
484,17
485,16
486,16
487,18
488,17
489,15
490,15
491,17
492,17
493,14
494,19
495,18
496,18
497,16
498,19
499,17
500,16
501,16
502,14
503,17
504,11
505,16
506,16
507,19
508,19
509,20
510,17
511,18
512,18
513,16
514,16
515,16
516,13
517,18
518,13
519,17
520,18
521,19
522,15
523,16
524,17
525,16
526,18
527,16
528,14
529,15
530,16
531,15
532,18
533,16
534,17
535,18
536,17
537,16
538,15
539,18
540,16
541,12
542,18
543,14
544,17
545,16
546,15
547,15
548,17
549,18
550,18
551,16
552,16
553,18
554,14
555,15
556,17
557,18
558,19
559,14
560,18
561,16
562,16
563,15
564,18
565,17
566,18
567,14
568,17
569,19
570,18
571,17
572,17
573,18
574,12
575,18
576,18
577,14
578,17
579,15
580,16
581,18
582,18
583,17
584,19
585,16
586,15
587,18
588,17
589,12
590,17
591,19
592,16
593,19
594,14
595,19
596,18
597,16
598,12
599,18
600,16
601,16
602,15
603,15
604,16
605,18
606,15
607,19
608,19
609,17
610,15
611,18
612,18
613,16
614,16
615,15
616,19
617,18
618,17
619,16
620,15
621,17
622,15
623,17
624,18
625,15
626,15
627,14
628,14
629,18
630,18
631,12
632,19
633,17
634,17
635,18
636,17
637,17
638,14
639,17
640,19
641,19
642,13
643,15
644,17
645,12
646,17
647,13
648,19
649,18
650,18
651,19
652,18
653,15
654,19
655,19
656,17
657,17
658,17
659,15
660,15
661,19
662,17
663,18
664,17
665,19
666,18
667,14
668,14
669,18
670,14
671,13
672,16
673,17
674,14
675,14
676,17
677,16
678,18
679,19
680,13
681,18
682,17
683,19
684,16
685,19
686,16
687,18
688,14
689,16
690,17
691,18
692,18
693,19
694,18
695,18
696,16
697,19
698,14
699,18
700,13
701,16
702,16
703,16
704,18
705,15
706,17
707,16
708,18
709,13
710,17
711,16
712,18
713,16
714,16
715,18
716,16
717,15
718,15
719,18
720,15
721,17
722,16
723,18
724,15
725,17
726,12
727,19
728,13
729,13
730,17
731,18
732,18
733,17
734,16
735,15
736,17
737,14
738,14
739,18
740,15
741,14
742,18
743,18
744,14
745,16
746,18
747,19
748,13
749,17
750,14
751,15
752,13
753,16
754,16
755,19
756,15
757,19
758,18
759,17
760,13
761,15
762,14
763,17
764,15
765,15
766,17
767,17
768,15
769,14
770,19
771,17
772,18
773,16
774,18
775,15
776,15
777,18
778,13
779,17
780,15
781,15
782,18
783,17
784,18
785,16
786,13
787,19
788,12
789,20
790,14
791,13
792,16
793,17
794,17
795,14
796,18
797,13
798,15
799,16
800,15
801,17
802,15
803,18
804,18
805,15
806,18
807,16
808,17
809,12
810,19
811,18
812,12
813,16
814,16
815,18
816,18
817,17
818,18
819,14
820,15
821,13
822,18
823,12
824,19
825,14
826,18
827,13
828,17
829,19
830,13
831,15
832,16
833,13
834,17
835,18
836,17
837,16
838,17
839,12
840,19
841,16
842,18
843,17
844,15
845,17
846,19
847,14
848,16
849,17
850,18
851,18
852,17
853,14
854,15
855,16
856,16
857,19
858,19
859,15
860,15
861,19
862,18
863,17
864,18
865,16
866,17
867,16
868,14
869,16
870,16
871,13
872,14
873,18
874,18
875,17
876,13
877,17
878,16
879,16
880,13
881,19
882,13
883,17
884,18
885,17
886,17
887,18
888,13
889,17
890,17
891,17
892,14
893,15
894,18
895,18
896,18
897,15
898,18
899,17
900,16
901,17
902,16
903,18
904,18
905,18
906,16
907,18
908,18
909,15
910,19
911,17
912,18
913,18
914,15
915,17
916,17
917,17
918,18
919,17
920,18
921,17
922,17
923,16
924,17
925,14
926,18
927,18
928,17
929,17
930,16
931,16
932,18
933,17
934,19
935,18
936,18
937,17
938,14
939,15
940,16
941,18
942,18
943,17
944,15
945,17
946,18
947,17
948,14
949,16
950,16
951,16
952,17
953,17
954,13
955,17
956,18
957,18
958,14
959,17
960,15
961,17
962,17
963,18
964,17
965,13
966,16
967,13
968,15
969,16
970,18
971,12
972,15
973,16
974,18
975,16
976,17
977,16
978,18
979,17
980,17
981,19
982,17
983,13
984,16
985,16
986,15
987,17
988,16
989,16
990,16
991,16
992,15
993,18
994,13
995,18
996,18
997,13
998,19
999,16
