,n1,n2,p-values
0,45.0,51.0,2.899138563384286e-91
1,42.0,54.0,6.896457101808762e-22
2,46.0,50.0,2.2717778706453937e-24
3,36.0,60.0,4.8833758479184643e-33
4,45.0,51.0,4.863627562864084e-19
5,40.0,56.0,4.247047428221757e-61
6,50.0,46.0,5.58294295937884e-15
7,48.0,48.0,4.8339767625349785e-27
8,42.0,54.0,4.043234831697594e-35
9,45.0,51.0,1.707548583728943e-27
10,42.0,54.0,3.3862277324999536e-71
11,51.0,45.0,4.931543810363014e-28
12,52.0,44.0,4.640912635664395e-24
13,45.0,51.0,2.433126986685401e-20
14,54.0,42.0,2.7186416858565943e-101
15,48.0,48.0,9.289832333045607e-50
16,49.0,47.0,4.773349424342122e-28
17,41.0,55.0,1.2384323987847888e-48
18,46.0,50.0,4.755775946075186e-106
19,50.0,46.0,6.936125679885854e-16
20,38.0,58.0,3.156829568791119e-12
21,47.0,49.0,1.120509187232563e-27
22,48.0,48.0,4.875875742859163e-27
23,46.0,50.0,0.0
24,46.0,50.0,2.4384208376168884e-45
25,37.0,59.0,2.803022610941521e-17
26,56.0,40.0,3.608532349122006e-96
27,49.0,47.0,5.511704095320825e-55
28,54.0,42.0,1.791579213791967e-26
29,53.0,43.0,4.282560620481744e-23
30,45.0,51.0,1.0134303669209201e-37
31,47.0,49.0,2.65561686174767e-56
32,49.0,47.0,1.3210984353833816e-153
33,56.0,40.0,1.1405633737372712e-43
34,59.0,37.0,2.6354279778919282e-27
35,51.0,45.0,3.118510763416352e-49
36,41.0,55.0,6.801839716414206e-17
37,47.0,49.0,4.0864215726420835e-127
38,50.0,46.0,4.12437611884805e-33
39,42.0,54.0,2.2748954198607955e-32
40,49.0,47.0,1.3135443828974519e-22
41,54.0,42.0,5.659689414683959e-23
42,37.0,59.0,6.729929425372018e-16
43,54.0,42.0,3.032177261301722e-21
44,48.0,48.0,1.887558507478021e-79
45,47.0,49.0,0.0
46,51.0,45.0,2.6236154091289078e-58
47,49.0,47.0,9.892486335249968e-23
48,47.0,49.0,9.561103028378868e-53
49,46.0,50.0,1.1361657719156332e-26
50,48.0,48.0,2.830893054630097e-16
51,43.0,53.0,2.7847050305495945e-20
52,49.0,47.0,1.3984575190630034e-16
53,58.0,38.0,2.6445612773056053e-31
54,39.0,57.0,1.379410319211547e-25
55,53.0,43.0,1.4044497421822774e-14
56,43.0,53.0,1.049621697215591e-14
57,47.0,49.0,7.755079641181297e-23
58,45.0,51.0,3.115406649710791e-13
59,44.0,52.0,1.9343166071422402e-17
60,40.0,56.0,2.0169678456220886e-27
61,54.0,42.0,2.125385087510641e-46
62,55.0,41.0,1.2151692301601345e-13
63,52.0,44.0,9.798900455210483e-28
64,53.0,43.0,3.1787252115823544e-15
65,45.0,51.0,3.673823038744016e-116
66,55.0,41.0,8.953539702072179e-19
67,49.0,47.0,1.5125193599132486e-25
68,46.0,50.0,1.0623235217048807e-24
69,45.0,51.0,5.890826029074817e-41
70,46.0,50.0,9.604444840018774e-60
71,48.0,48.0,2.6375912536359806e-30
72,44.0,52.0,7.960351350183258e-23
73,50.0,46.0,1.8679940951580525e-20
74,47.0,49.0,4.894434655897761e-32
75,48.0,48.0,6.65136559416119e-13
76,52.0,44.0,1.7947154655927832e-26
77,51.0,45.0,4.5929616230494535e-84
78,47.0,49.0,2.7524361227222195e-15
79,48.0,48.0,2.0089567268101765e-24
80,49.0,47.0,1.19525274910393e-16
81,48.0,48.0,1.6597547025606535e-15
82,49.0,47.0,2.6285815537624035e-75
83,45.0,51.0,8.377564321300354e-37
84,47.0,49.0,4.0047864693464125e-25
85,52.0,44.0,9.967946880054862e-23
86,56.0,40.0,1.4544301646264838e-74
87,52.0,44.0,2.2638145977737184e-16
88,45.0,51.0,8.336892848792135e-19
89,49.0,47.0,2.6333761816096287e-19
90,57.0,39.0,1.7816375296267592e-24
91,48.0,48.0,1.886706203504012e-238
92,51.0,45.0,6.556556806579565e-34
93,52.0,44.0,1.2684221850569e-17
94,43.0,53.0,7.777838313601326e-33
95,41.0,55.0,2.001081230144896e-19
96,43.0,53.0,6.066120956824448e-27
97,48.0,48.0,1.6357899637708425e-22
98,51.0,45.0,7.35114066863768e-64
99,43.0,53.0,1.9415225674193578e-20
100,57.0,39.0,2.8364686029435697e-21
101,47.0,49.0,2.0749296257090387e-54
102,49.0,47.0,2.239807852706734e-24
103,42.0,54.0,1.1634759194786634e-93
104,41.0,55.0,1.9247122898740293e-16
105,46.0,50.0,1.5244351687889512e-15
106,36.0,60.0,2.1563271303376283e-33
107,47.0,49.0,6.908661784193084e-26
108,57.0,39.0,1.4970958019733403e-33
109,47.0,49.0,1.0155016726640442e-42
110,51.0,45.0,2.5470298488146846e-21
111,44.0,52.0,8.203642227971504e-35
112,44.0,52.0,4.144127992562333e-208
113,55.0,41.0,2.952427350941844e-70
114,46.0,50.0,1.8659706772467112e-48
115,45.0,51.0,3.0913985726515886e-20
116,43.0,53.0,2.9699287249479494e-17
117,49.0,47.0,9.47828883048722e-52
118,57.0,39.0,2.8214969889683767e-29
119,45.0,51.0,4.5164797283305115e-40
120,46.0,50.0,1.7653034162195108e-30
121,45.0,51.0,2.31609383024669e-26
122,57.0,39.0,1.2973156764899112e-35
123,46.0,50.0,9.267194339286294e-52
124,46.0,50.0,9.423389787004949e-39
125,40.0,56.0,1.4794093148671244e-135
126,47.0,49.0,3.0761799283166604e-34
127,49.0,47.0,6.605714242725982e-28
128,42.0,54.0,8.79917324398759e-80
129,48.0,48.0,2.396967420117507e-38
130,50.0,46.0,2.9942839362497723e-30
131,43.0,53.0,3.1053630174170056e-14
132,55.0,41.0,1.5905988767489218e-18
133,50.0,46.0,1.3706470320254525e-47
134,49.0,47.0,1.3885682128070467e-39
135,51.0,45.0,1.554089336215655e-17
136,57.0,39.0,3.1032682161977647e-181
137,46.0,50.0,6.309139868206672e-51
138,43.0,53.0,2.64507490288606e-31
139,47.0,49.0,5.227054838285969e-24
140,52.0,44.0,1.7545808573355836e-20
141,53.0,43.0,2.7172091461939916e-12
142,41.0,55.0,6.0461736818029806e-15
143,46.0,50.0,4.268048942295881e-55
144,51.0,45.0,1.3104663131524186e-32
145,55.0,41.0,2.6621226787353683e-34
146,46.0,50.0,4.832890080326931e-27
147,45.0,51.0,1.018733447875648e-28
148,53.0,43.0,9.953756520602996e-22
149,46.0,50.0,1.5003605431830398e-24
150,50.0,46.0,2.786140468953963e-42
151,50.0,46.0,3.155021842366763e-38
152,51.0,45.0,3.5328762760809576e-40
153,46.0,50.0,3.257763389808349e-29
154,54.0,42.0,6.662620786601298e-84
155,43.0,53.0,4.67889222637537e-13
156,53.0,43.0,1.6432913126038647e-22
157,48.0,48.0,4.930095479411173e-30
158,50.0,46.0,1.462848928804115e-32
159,47.0,49.0,9.378214101788985e-20
160,45.0,51.0,3.3975915737246544e-23
161,45.0,51.0,1.9767904137264138e-22
162,51.0,45.0,1.765273436729426e-23
163,47.0,49.0,4.531454502996856e-27
164,45.0,51.0,1.6057176301883737e-15
165,54.0,42.0,2.021889763703902e-85
166,47.0,49.0,9.099556533015373e-25
167,57.0,39.0,4.6495378099740713e-63
168,56.0,40.0,1.2506317799658963e-20
169,38.0,58.0,2.3487655365095804e-26
170,44.0,52.0,1.0023755973530673e-19
171,49.0,47.0,1.3432560465345874e-113
172,43.0,53.0,7.447881952638471e-26
173,42.0,54.0,1.5857652727801312e-39
174,49.0,47.0,2.8199405646249328e-16
175,41.0,55.0,1.648854346891772e-50
176,51.0,45.0,6.612790264106543e-23
177,42.0,54.0,4.055064962660135e-27
178,47.0,49.0,1.1259698682352769e-26
179,34.0,62.0,3.0069723156947583e-24
180,49.0,47.0,1.7583836606987394e-48
181,52.0,44.0,1.690576181503911e-32
182,46.0,50.0,3.8543419164813e-71
183,51.0,45.0,7.4951648233549755e-59
184,52.0,44.0,9.61832325870163e-24
185,51.0,45.0,5.513803537109922e-112
186,51.0,45.0,7.894330271230017e-36
187,45.0,51.0,3.223209791236255e-17
188,51.0,45.0,1.579723819050185e-123
189,51.0,45.0,1.2597061614568821e-44
190,49.0,47.0,8.818802738371169e-58
191,51.0,45.0,1.0857505600199765e-52
192,50.0,46.0,2.0912574105152483e-32
193,42.0,54.0,1.432190587257427e-55
194,49.0,47.0,4.8980596901382975e-32
195,49.0,47.0,8.507259937945825e-53
196,48.0,48.0,6.116906336673065e-28
197,46.0,50.0,8.459502469615135e-189
198,50.0,46.0,1.043505830958915e-25
199,55.0,41.0,6.167072913758063e-30
200,53.0,43.0,2.65332872206369e-43
201,40.0,56.0,6.873685925740052e-45
202,45.0,51.0,1.6112975966439717e-44
203,45.0,51.0,8.875115282044087e-25
204,45.0,51.0,6.967667011399463e-28
205,41.0,55.0,1.0880112785138787e-19
206,49.0,47.0,1.2321118099549716e-27
207,50.0,46.0,5.294914926446521e-75
208,51.0,45.0,1.5517554486520484e-49
209,47.0,49.0,1.9040555859592136e-41
210,50.0,46.0,1.7208306123821297e-77
211,48.0,48.0,3.8467850002875566e-18
212,46.0,50.0,1.6520763562903893e-23
213,50.0,46.0,2.8267578276407695e-46
214,45.0,51.0,1.7015256520280726e-16
215,47.0,49.0,8.052226166226269e-13
216,48.0,48.0,2.6177762316587034e-57
217,51.0,45.0,7.721717352213022e-89
218,50.0,46.0,3.339122440900491e-23
219,42.0,54.0,6.8560798342237494e-18
220,49.0,47.0,1.4993762175000377e-17
221,52.0,44.0,1.737056908921287e-12
222,52.0,44.0,2.0985455415117286e-70
223,52.0,44.0,2.11963444692874e-37
224,41.0,55.0,1.9087173590540422e-46
225,44.0,52.0,1.4764674199320735e-30
226,52.0,44.0,9.678436115147515e-16
227,45.0,51.0,1.9466191640931542e-33
228,48.0,48.0,4.1536917974071304e-16
229,46.0,50.0,6.396217762488302e-43
230,45.0,51.0,1.9602967303549576e-37
231,52.0,44.0,8.00898732713211e-14
232,51.0,45.0,6.562454758004319e-57
233,54.0,42.0,6.651320137194773e-12
234,53.0,43.0,4.2895277320333356e-13
235,40.0,56.0,4.3253751641738e-23
236,40.0,56.0,6.013130910260578e-19
237,44.0,52.0,1.1442774868303416e-83
238,47.0,49.0,1.606674622450359e-60
239,43.0,53.0,1.0324419592762908e-15
240,57.0,39.0,3.876352078468347e-29
241,46.0,50.0,1.1781073879889399e-12
242,49.0,47.0,4.027919598812352e-45
243,47.0,49.0,1.3345102347308792e-64
244,51.0,45.0,2.2502593783304573e-29
245,51.0,45.0,1.63415955468105e-28
246,43.0,53.0,7.654351007223864e-26
247,46.0,50.0,9.369364361705167e-49
248,43.0,53.0,6.87270491652383e-24
249,42.0,54.0,3.426221422807421e-23
250,51.0,45.0,7.689904593672185e-37
251,51.0,45.0,1.4199429300609819e-24
252,46.0,50.0,3.877372206224568e-21
253,44.0,52.0,2.754448947999555e-19
254,47.0,49.0,3.4515830401772344e-34
255,52.0,44.0,2.890299466350016e-20
256,55.0,41.0,1.1765591225465907e-51
257,42.0,54.0,3.3509719990893965e-30
258,60.0,36.0,1.2635340323557904e-33
259,48.0,48.0,2.88243327917684e-66
260,53.0,43.0,1.184887849032506e-30
261,39.0,57.0,1.8304043407247179e-29
262,45.0,51.0,8.748559762150543e-21
263,43.0,53.0,2.0139679756732574e-31
264,45.0,51.0,6.591344150674546e-23
265,47.0,49.0,2.6963390980109183e-45
266,45.0,51.0,9.746676058929673e-83
267,49.0,47.0,7.041570917106213e-116
268,48.0,48.0,1.44406161404759e-15
269,49.0,47.0,5.50314106719614e-55
270,48.0,48.0,4.332858137631226e-112
271,51.0,45.0,4.186042993961312e-24
272,46.0,50.0,8.50053035205992e-39
273,48.0,48.0,2.6404292798445707e-15
274,47.0,49.0,8.096896113933334e-27
275,54.0,42.0,8.900812120085921e-18
276,56.0,40.0,1.5763978141090248e-56
277,40.0,56.0,7.802835850972076e-18
278,42.0,54.0,9.216041852574737e-30
279,52.0,44.0,4.5049907091377456e-26
280,53.0,43.0,2.6313838672719696e-48
281,51.0,45.0,1.0494482559817408e-42
282,57.0,39.0,1.0141177057349804e-59
283,45.0,51.0,1.8654421532728782e-69
284,46.0,50.0,7.346114768903218e-30
285,53.0,43.0,2.4678405240578058e-89
286,50.0,46.0,5.3056718579921594e-20
287,41.0,55.0,4.313017714674962e-25
288,46.0,50.0,3.9961386191857205e-29
289,47.0,49.0,7.496094372519939e-22
290,44.0,52.0,3.0962815466910758e-24
291,44.0,52.0,3.2439135689628155e-17
292,42.0,54.0,5.518834886730668e-34
293,43.0,53.0,8.046295400436559e-21
294,44.0,52.0,5.9935262893050654e-30
295,44.0,52.0,2.0164846477581652e-35
296,39.0,57.0,1.4726884730346049e-21
297,45.0,51.0,1.156083530896821e-19
298,44.0,52.0,2.337010048630657e-21
