,n1,n2,p-values
0,52.0,44.0,0.06626000273024937
1,46.0,50.0,0.09012932901437082
2,48.0,48.0,0.1463424231178041
3,53.0,43.0,0.2879492866297499
4,41.0,55.0,3.455488396804534e-05
5,52.0,44.0,0.4088941955584521
6,53.0,43.0,0.389339310277634
7,50.0,46.0,0.40046575301956167
8,49.0,47.0,0.04547504422079652
9,50.0,46.0,0.274652686334808
10,47.0,49.0,0.2502686300132505
11,51.0,45.0,0.2561040862428922
12,52.0,44.0,0.029138326101588605
13,50.0,46.0,0.20095619152220617
14,35.0,61.0,0.05273588574309663
15,49.0,47.0,0.42489243235940866
16,50.0,46.0,0.14361614610732437
17,42.0,54.0,0.35748364464689764
18,50.0,46.0,0.2651257480609913
19,45.0,51.0,0.21112798441946978
20,45.0,51.0,0.47734171168630657
21,52.0,44.0,0.368023011822909
22,39.0,57.0,0.1856361607366659
23,48.0,48.0,0.1659077024733464
24,52.0,44.0,0.2660593254175245
25,51.0,45.0,0.04001153328955044
26,43.0,53.0,0.07341076333858397
27,51.0,45.0,0.14043897238153674
28,48.0,48.0,0.0671825483756704
29,47.0,49.0,0.008294103164322069
30,47.0,49.0,0.012078533647079647
31,53.0,43.0,0.3880399701675534
32,54.0,42.0,0.04150127303118279
33,44.0,52.0,0.22848508727224331
34,45.0,51.0,0.0008994589997667323
35,53.0,43.0,0.3603600354315115
36,47.0,49.0,0.17609861090715917
37,50.0,46.0,0.4891603600889041
38,48.0,48.0,0.15921724354227773
39,44.0,52.0,0.20931830548920533
40,42.0,54.0,0.23147253934849876
41,57.0,39.0,0.1824843803663851
42,48.0,48.0,0.28187259021385175
43,58.0,38.0,0.19934957508764412
44,43.0,53.0,0.05492419828742497
45,50.0,46.0,0.38126974747628617
46,45.0,51.0,0.14406049548005762
47,44.0,52.0,0.3662010597016955
48,49.0,47.0,0.18580657291095382
49,46.0,50.0,0.4508741922065139
50,54.0,42.0,0.10054845346991348
51,51.0,45.0,0.39464661632806
52,53.0,43.0,0.2098215555497498
53,44.0,52.0,0.021228572573237875
54,47.0,49.0,0.22082252413712866
55,50.0,46.0,0.06288725062260946
56,46.0,50.0,0.3310792318357447
57,46.0,50.0,0.2596287548889271
58,52.0,44.0,0.04168901613507543
59,55.0,41.0,0.029821691245447753
60,48.0,48.0,0.13292858018886977
61,50.0,46.0,0.22944834072871007
