,n1,n2,p-values
0,50.0,46.0,4.2607687934313345e-14
1,53.0,43.0,1.5034156659926324e-27
2,48.0,48.0,1.1024557885895917e-25
3,55.0,41.0,1.5579677805661463e-10
4,42.0,54.0,2.557159393958691e-10
5,42.0,54.0,5.039547264238808e-07
6,46.0,50.0,1.023544717582625e-12
7,46.0,50.0,1.0036774221539936e-06
8,43.0,53.0,2.4571125429931393e-43
9,41.0,55.0,3.5181622366080874e-09
10,43.0,53.0,5.673792397329458e-15
11,45.0,51.0,2.4310190137735565e-48
12,47.0,49.0,3.658233509157767e-15
13,43.0,53.0,7.260966299558324e-09
14,47.0,49.0,1.1347191026242003e-16
15,49.0,47.0,5.64795848472095e-08
16,51.0,45.0,1.8906961771332072e-11
17,43.0,53.0,7.65833814555402e-15
18,41.0,55.0,2.3299460965762475e-09
19,48.0,48.0,5.948714954624168e-12
20,51.0,45.0,3.471670039949846e-38
21,46.0,50.0,9.399117569603421e-30
22,52.0,44.0,3.851827012225823e-67
23,43.0,53.0,5.926888458540753e-11
24,56.0,40.0,2.2521406204343943e-16
25,52.0,44.0,3.2131266925623435e-12
26,55.0,41.0,5.522987426216868e-10
27,51.0,45.0,1.2840920326630953e-23
28,44.0,52.0,7.654841736366516e-09
29,42.0,54.0,7.136861471028691e-22
30,44.0,52.0,3.762894773350154e-42
31,54.0,42.0,1.537083196818649e-14
32,46.0,50.0,9.4638729004147e-13
33,46.0,50.0,3.616921051900019e-07
34,50.0,46.0,3.277554708772184e-32
35,45.0,51.0,1.8901397708366943e-08
36,52.0,44.0,5.389697832408245e-15
37,53.0,43.0,6.679924442553797e-13
38,49.0,47.0,4.960500551732897e-24
39,51.0,45.0,6.568803306705925e-27
40,46.0,50.0,2.114811407928384e-28
41,47.0,49.0,2.104104974584307e-30
42,53.0,43.0,4.746609699548748e-11
43,46.0,50.0,3.0691841625657524e-12
44,49.0,47.0,3.406287147610271e-08
45,48.0,48.0,1.2771232499103666e-71
46,50.0,46.0,1.3343864710082638e-15
47,51.0,45.0,5.543880170103844e-13
48,55.0,41.0,8.905296753043038e-29
49,38.0,58.0,1.7798621771486714e-12
50,50.0,46.0,6.265613105766748e-14
51,42.0,54.0,7.471268991766574e-07
52,49.0,47.0,2.957204955852017e-08
53,48.0,48.0,5.918340215675574e-15
54,47.0,49.0,5.593099220245373e-13
55,47.0,49.0,4.333624839479261e-48
56,48.0,48.0,7.293245572171575e-11
57,51.0,45.0,6.563726118858957e-10
58,51.0,45.0,6.473372611329236e-19
59,55.0,41.0,2.685525566131646e-06
60,50.0,46.0,8.240714169130192e-24
61,45.0,51.0,1.7737669047064768e-10
62,47.0,49.0,3.247553914569554e-11
63,47.0,49.0,2.7804438942991866e-11
64,45.0,51.0,7.32425250342057e-18
65,54.0,42.0,3.960938565529749e-47
66,59.0,37.0,1.1351806590626826e-07
67,43.0,53.0,1.7708115521191017e-20
68,45.0,51.0,3.2150586252299654e-57
69,52.0,44.0,2.147089919962072e-11
70,46.0,50.0,8.851646915743707e-52
71,51.0,45.0,1.136124380129509e-10
72,55.0,41.0,1.86194888044099e-45
73,47.0,49.0,2.1484103108637066e-36
74,46.0,50.0,7.301596437667128e-35
75,50.0,46.0,7.096185844987024e-15
76,58.0,38.0,1.3952094094432539e-30
77,58.0,38.0,3.161993204278449e-11
78,56.0,40.0,2.7411694312432847e-08
79,54.0,42.0,3.678850464635924e-19
80,45.0,51.0,9.199676421026531e-17
81,48.0,48.0,6.148875853070472e-56
82,46.0,50.0,1.438598468891919e-09
83,37.0,59.0,3.712018765676005e-17
84,47.0,49.0,3.344370625662589e-40
85,48.0,48.0,2.5533967329805533e-06
86,51.0,45.0,1.0372215666649026e-15
87,54.0,42.0,3.5570578481623e-08
88,53.0,43.0,8.816029212600848e-11
89,48.0,48.0,7.208158721860587e-12
90,47.0,49.0,9.554784027881404e-14
91,50.0,46.0,1.20212032130756e-18
92,48.0,48.0,4.0241545520288934e-17
93,49.0,47.0,6.046426681845997e-23
94,51.0,45.0,8.873743919733938e-17
95,39.0,57.0,4.357046056909598e-20
96,48.0,48.0,1.7964921243223359e-12
97,43.0,53.0,1.4195155986098054e-08
98,57.0,39.0,2.6658478194029258e-09
99,43.0,53.0,9.85825273603932e-15
100,50.0,46.0,8.959139029261379e-18
101,42.0,54.0,1.4942398991048248e-27
102,48.0,48.0,1.2354497215039793e-53
103,42.0,54.0,8.095635543285329e-14
104,51.0,45.0,5.389331178311592e-09
105,46.0,50.0,1.136501620180071e-11
106,49.0,47.0,5.645088176191836e-10
107,55.0,41.0,3.639656226461582e-12
108,48.0,48.0,1.4335565619573332e-11
109,34.0,62.0,2.2467549487281462e-88
110,45.0,51.0,2.002045221637964e-14
111,52.0,44.0,2.0487225704526644e-10
112,38.0,58.0,1.5683982761063734e-17
113,46.0,50.0,5.762017636863851e-17
114,44.0,52.0,2.2312833458654065e-06
115,49.0,47.0,3.163162474536699e-11
116,45.0,51.0,1.4229780093529063e-06
117,53.0,43.0,5.847737867135534e-13
118,49.0,47.0,5.3517542540654595e-09
119,46.0,50.0,1.079571926437424e-13
120,48.0,48.0,1.695165080650462e-07
121,39.0,57.0,2.473934878714091e-05
122,56.0,40.0,1.4814997050260142e-15
123,43.0,53.0,1.5482086736238954e-12
124,47.0,49.0,7.995422372243587e-20
125,54.0,42.0,7.845335702668993e-25
126,42.0,54.0,2.732233713335428e-15
127,47.0,49.0,7.94523605326968e-06
128,45.0,51.0,3.5541744718243024e-47
129,49.0,47.0,1.0126407840962442e-08
130,55.0,41.0,6.507782096071495e-31
131,47.0,49.0,5.239218273124843e-41
132,47.0,49.0,1.7011810592955276e-13
133,42.0,54.0,1.4681396200910648e-26
134,48.0,48.0,2.8261927220623615e-29
135,46.0,50.0,1.9176245391465175e-22
136,45.0,51.0,1.3510281338485667e-54
137,52.0,44.0,1.8459993124421105e-11
138,55.0,41.0,1.0546856571908981e-10
139,49.0,47.0,1.1964432011804266e-35
140,47.0,49.0,4.3719230610266396e-10
141,46.0,50.0,3.2046392700349913e-44
142,48.0,48.0,8.585881308141085e-14
143,43.0,53.0,1.1246964462751354e-06
144,44.0,52.0,3.47648481597674e-69
145,59.0,37.0,1.506312830242154e-07
146,47.0,49.0,6.582289120401027e-10
147,49.0,47.0,3.954060952927122e-13
148,49.0,47.0,1.876706965474137e-12
149,47.0,49.0,1.6770380093164342e-15
150,47.0,49.0,1.335366159211454e-71
151,50.0,46.0,1.3669858241235796e-11
152,42.0,54.0,4.88225058758446e-12
153,45.0,51.0,4.986731659375158e-10
154,40.0,56.0,1.2251102206258535e-17
155,46.0,50.0,8.446670149191233e-29
156,48.0,48.0,7.194804271290121e-50
157,45.0,51.0,3.757126822261139e-12
158,45.0,51.0,8.691422361207911e-16
159,44.0,52.0,3.0149270069977584e-33
160,53.0,43.0,4.805410420295792e-07
161,43.0,53.0,1.6555693134052391e-07
162,38.0,58.0,7.988653867254197e-42
163,47.0,49.0,3.8408195463688136e-19
164,49.0,47.0,1.150645032299086e-10
165,43.0,53.0,9.950824855317243e-06
166,46.0,50.0,6.172599465875506e-06
167,55.0,41.0,2.6771750264339833e-05
168,47.0,49.0,1.9189576995224976e-14
169,39.0,57.0,1.1326286073557865e-22
170,49.0,47.0,9.24692448397973e-25
171,47.0,49.0,2.422069328187619e-07
172,44.0,52.0,1.3634163946491156e-33
173,51.0,45.0,1.9729951304134266e-34
174,50.0,46.0,2.0299738395896018e-13
175,53.0,43.0,5.2682018674467834e-11
176,52.0,44.0,6.894133235205407e-19
177,44.0,52.0,1.5530954226781459e-15
178,43.0,53.0,7.724475917814078e-22
179,47.0,49.0,2.748088867767577e-19
180,45.0,51.0,2.7347838880856496e-19
181,53.0,43.0,1.9799126792344414e-15
182,52.0,44.0,7.834516332400781e-22
183,51.0,45.0,9.323229780525448e-07
184,48.0,48.0,8.59373986973187e-29
185,41.0,55.0,1.3195209028898408e-61
186,47.0,49.0,2.6357974273853545e-16
187,42.0,54.0,2.4982322761372688e-12
188,46.0,50.0,4.2070341342538326e-17
189,47.0,49.0,3.058400340177308e-09
190,46.0,50.0,1.051473193200551e-25
191,47.0,49.0,1.2515233377950177e-08
192,49.0,47.0,4.918877967484442e-30
193,48.0,48.0,1.3735851708165432e-24
194,43.0,53.0,2.391791209840482e-80
195,49.0,47.0,5.186789903655261e-07
196,48.0,48.0,1.583709938425746e-12
197,46.0,50.0,1.7851404353396852e-46
198,47.0,49.0,1.110429817198304e-06
199,41.0,55.0,7.239115025764844e-28
200,54.0,42.0,6.119712674141114e-10
201,51.0,45.0,2.927924738470951e-06
202,52.0,44.0,1.4578113447947322e-06
203,51.0,45.0,5.1345165021012956e-11
204,48.0,48.0,2.5353936990411393e-07
205,48.0,48.0,0.00015335178853656192
206,45.0,51.0,3.4603323659681483e-07
207,50.0,46.0,2.4886250875432925e-18
208,39.0,57.0,4.674424307340227e-12
209,50.0,46.0,5.073527106946592e-12
210,51.0,45.0,6.44241309925265e-09
211,48.0,48.0,7.967084178099678e-25
212,56.0,40.0,1.0383783057630976e-10
213,48.0,48.0,1.985456813087462e-28
214,47.0,49.0,1.0716919433275757e-16
215,56.0,40.0,1.9949029312488824e-19
216,44.0,52.0,1.194774767137449e-12
217,56.0,40.0,2.507304488738822e-11
218,41.0,55.0,3.572175694033502e-08
219,49.0,47.0,3.082542507361249e-28
220,51.0,45.0,6.3498945945839284e-49
221,45.0,51.0,1.577994445964652e-14
222,52.0,44.0,9.222297438853556e-14
223,49.0,47.0,4.6033185881022565e-09
224,51.0,45.0,8.283549643402882e-14
225,49.0,47.0,1.5620597067056258e-31
226,50.0,46.0,1.7800820921541102e-07
227,49.0,47.0,4.024864329886689e-21
228,50.0,46.0,1.505639177734091e-31
229,45.0,51.0,6.127537777161222e-29
230,52.0,44.0,1.786726966318072e-19
231,41.0,55.0,1.9982289374753596e-13
232,56.0,40.0,1.9786702381831403e-17
233,49.0,47.0,1.050475722835476e-09
234,51.0,45.0,1.8924125229134624e-15
235,52.0,44.0,1.675042999029304e-20
236,54.0,42.0,4.559397064083169e-15
237,51.0,45.0,1.6924949975630057e-09
238,63.0,33.0,7.245624328965095e-08
239,58.0,38.0,9.77150465893799e-09
240,47.0,49.0,5.446491244240773e-11
241,47.0,49.0,5.203873590976143e-66
242,43.0,53.0,1.2348841460918529e-10
243,52.0,44.0,4.518214069590677e-12
244,56.0,40.0,4.0386708071448535e-09
245,53.0,43.0,1.918980159616002e-12
246,50.0,46.0,5.766547304089461e-19
247,48.0,48.0,1.5011051470091645e-11
