,n1,n2,p-values
0,48.0,48.0,6.098121861470575e-21
1,48.0,48.0,8.022018101198133e-62
2,48.0,48.0,1.681876126620295e-48
3,48.0,48.0,2.073213656564633e-21
4,48.0,48.0,5.425348152552187e-19
5,48.0,48.0,8.104025242923065e-41
6,48.0,48.0,2.2693556968234815e-49
7,48.0,48.0,1.389653451900109e-21
8,48.0,48.0,4.82828487116335e-125
9,48.0,48.0,8.690125494857457e-22
10,48.0,48.0,7.607082740850209e-97
11,48.0,48.0,2.1000728022694908e-44
12,48.0,48.0,7.799114483944014e-37
13,48.0,48.0,1.751214174417504e-30
14,48.0,48.0,4.060152438485703e-212
15,48.0,48.0,8.435240478306312e-143
16,48.0,48.0,1.2447754365515303e-22
17,48.0,48.0,1.1984321363155669e-99
18,48.0,48.0,1.2361662145647057e-22
19,48.0,48.0,4.972334647392739e-35
20,48.0,48.0,1.6659126324144136e-17
21,48.0,48.0,1.838281686982366e-12
22,48.0,48.0,1.726555601706844e-45
23,48.0,48.0,7.198871594618987e-16
24,48.0,48.0,8.706877172291659e-22
25,48.0,48.0,1.0257899927018289e-219
26,48.0,48.0,4.95191697516195e-19
27,48.0,48.0,4.199995671689862e-27
28,48.0,48.0,6.260758953751933e-18
29,48.0,48.0,1.3650758712346127e-51
30,48.0,48.0,1.0403285123577506e-38
31,48.0,48.0,1.1880489080309494e-46
32,48.0,48.0,7.923334854370612e-26
33,48.0,48.0,1.0673918661045533e-17
34,48.0,48.0,5.26647131973114e-15
35,48.0,48.0,3.2175622001591964e-39
36,48.0,48.0,1.5422863768315855e-30
37,48.0,48.0,1.9851588951115497e-33
38,48.0,48.0,2.2490249713258764e-55
39,48.0,48.0,1.773187813624441e-51
40,48.0,48.0,9.093633908689681e-40
41,48.0,48.0,3.0602670174647257e-63
42,48.0,48.0,3.032334578849843e-22
43,48.0,48.0,4.705907803301465e-43
44,48.0,48.0,5.1353671331271655e-15
45,48.0,48.0,5.773865892960053e-16
46,48.0,48.0,2.3732828770031283e-20
47,48.0,48.0,1.3445894698641979e-62
48,48.0,48.0,4.843503008905512e-20
49,48.0,48.0,6.179039374652662e-18
50,48.0,48.0,3.943969105258292e-11
51,48.0,48.0,2.9581514467845796e-37
52,48.0,48.0,1.4953235578644608e-30
53,48.0,48.0,2.5884933887662276e-18
54,48.0,48.0,8.005185652116486e-78
55,48.0,48.0,7.448727472235661e-22
56,48.0,48.0,9.02739064815793e-16
57,48.0,48.0,4.0806021463403665e-18
58,48.0,48.0,1.0935929377050502e-86
59,48.0,48.0,1.8027948718807181e-28
60,48.0,48.0,4.055571769593674e-20
61,48.0,48.0,4.439175407849476e-50
62,48.0,48.0,9.870067943705496e-69
63,48.0,48.0,1.7378752369973196e-42
64,48.0,48.0,2.867550445342076e-230
65,48.0,48.0,1.1378451213334598e-31
66,48.0,48.0,2.1338134352851647e-23
67,48.0,48.0,6.099479756487674e-28
68,48.0,48.0,1.6525488715048933e-23
69,48.0,48.0,3.2574552844661084e-129
70,48.0,48.0,5.738381373864719e-28
71,48.0,48.0,1.2125476439630203e-128
72,48.0,48.0,5.062300567158599e-44
73,48.0,48.0,1.9391227862263694e-34
74,48.0,48.0,4.535530873108473e-147
75,48.0,48.0,3.105016683585864e-34
76,48.0,48.0,2.245789372073616e-25
77,48.0,48.0,6.567693809774449e-14
78,48.0,48.0,8.426176138865622e-43
79,48.0,48.0,3.0272299081647708e-18
80,48.0,48.0,1.2023770462855655e-77
81,48.0,48.0,3.459835733159766e-19
82,48.0,48.0,2.2220962742717293e-19
83,48.0,48.0,2.0634645079152697e-29
84,48.0,48.0,7.975618563780025e-74
85,48.0,48.0,7.90842652140677e-12
86,48.0,48.0,1.735628766963915e-67
87,48.0,48.0,7.326729192695785e-37
88,48.0,48.0,5.059474871266017e-36
89,48.0,48.0,9.603978996733475e-39
90,48.0,48.0,5.144029641798126e-48
91,48.0,48.0,3.7793243948823696e-27
92,48.0,48.0,5.072004271591028e-27
93,48.0,48.0,1.9467213418384172e-18
94,48.0,48.0,4.843113515565166e-19
95,48.0,48.0,2.9563779382018415e-96
96,48.0,48.0,4.2026276433151786e-37
97,48.0,48.0,5.2453149636627955e-68
98,48.0,48.0,2.039297328044357e-17
99,48.0,48.0,4.090714673242881e-28
100,48.0,48.0,6.576027745836166e-120
101,48.0,48.0,1.2536901497011488e-59
102,48.0,48.0,5.1029153376419296e-26
103,48.0,48.0,3.405048395020652e-21
104,48.0,48.0,2.50846406625618e-43
105,48.0,48.0,6.212562956685922e-30
106,48.0,48.0,1.8435241276240555e-48
107,48.0,48.0,3.360619003349436e-148
108,48.0,48.0,1.4649012461528957e-41
109,48.0,48.0,3.0734694302065426e-18
110,48.0,48.0,1.9929205971514722e-35
111,48.0,48.0,8.294454649652491e-18
112,48.0,48.0,2.635699238763784e-41
113,48.0,48.0,6.902253667278159e-24
114,48.0,48.0,2.567890489697703e-23
115,48.0,48.0,2.498510601193568e-12
116,48.0,48.0,1.6374132159262156e-42
117,48.0,48.0,6.13118949245608e-36
118,48.0,48.0,4.456118867019042e-21
119,48.0,48.0,5.968583274663087e-21
120,48.0,48.0,1.2351035106796047e-217
121,48.0,48.0,3.583930450624044e-21
122,48.0,48.0,2.8212298609833044e-19
123,48.0,48.0,3.2796742165057796e-71
124,48.0,48.0,2.3021033570464906e-25
125,48.0,48.0,1.9656854800354157e-198
126,48.0,48.0,1.095270879575472e-152
127,48.0,48.0,3.475953112048115e-30
128,48.0,48.0,7.620001533641026e-77
129,48.0,48.0,2.7483167982272053e-39
130,48.0,48.0,3.204349318042538e-31
131,48.0,48.0,6.148046004487529e-14
132,48.0,48.0,1.842802335969373e-37
133,48.0,48.0,5.0483323226815297e-23
134,48.0,48.0,1.03427141545995e-21
135,48.0,48.0,1.0042343726382145e-114
136,48.0,48.0,1.209205432257067e-80
137,48.0,48.0,1.108534331612522e-22
138,48.0,48.0,3.8219421040397267e-19
139,48.0,48.0,5.047994629323829e-19
140,48.0,48.0,9.586049806248089e-28
141,48.0,48.0,7.808499043842924e-14
142,48.0,48.0,2.8680701499210807e-22
143,48.0,48.0,9.574426815625467e-78
144,48.0,48.0,9.693853123757297e-13
145,48.0,48.0,2.2153481347404984e-26
146,48.0,48.0,2.0481726194758874e-25
147,48.0,48.0,1.5766707592506564e-61
148,48.0,48.0,2.214724264361207e-53
149,48.0,48.0,1.0299909644498705e-29
150,48.0,48.0,3.397552173436037e-35
151,48.0,48.0,2.6460043690506824e-116
152,48.0,48.0,2.322651607655851e-19
153,48.0,48.0,3.5964202391928874e-23
154,48.0,48.0,4.097291288745708e-31
155,48.0,48.0,4.604199861521619e-72
156,48.0,48.0,1.8013569469596583e-42
157,48.0,48.0,7.312732763765012e-21
158,48.0,48.0,1.3102871702402469e-21
159,48.0,48.0,2.1702667249250922e-49
160,48.0,48.0,8.707997501174408e-74
161,48.0,48.0,3.0984827621657563e-13
162,48.0,48.0,1.3737706684337063e-15
163,48.0,48.0,3.9400973894622846e-55
164,48.0,48.0,2.2304360932293943e-60
165,48.0,48.0,1.8268626540059956e-26
166,48.0,48.0,2.0193285355670586e-19
167,48.0,48.0,5.873536351639645e-50
168,48.0,48.0,2.8402348579109878e-27
169,48.0,48.0,1.7199163391487102e-59
170,48.0,48.0,0.0
171,48.0,48.0,1.5212396239039254e-37
172,48.0,48.0,1.6006306415087784e-14
173,48.0,48.0,1.190722785546693e-22
174,48.0,48.0,3.0076546459299613e-30
175,48.0,48.0,1.3973467906654182e-11
176,48.0,48.0,2.8677066941024707e-21
177,48.0,48.0,7.256068913356272e-32
178,48.0,48.0,1.0128139790397916e-51
179,48.0,48.0,2.1331190112797954e-218
180,48.0,48.0,1.2702154470468206e-41
181,48.0,48.0,1.1974702061082187e-45
182,48.0,48.0,7.506448271623133e-63
183,48.0,48.0,3.292194311803633e-13
184,48.0,48.0,5.643707712494361e-28
185,48.0,48.0,1.1977262954393692e-30
186,48.0,48.0,1.1276291212118086e-15
187,48.0,48.0,1.395940369356174e-25
188,48.0,48.0,3.8305692696244425e-49
189,48.0,48.0,3.500296445017449e-25
190,48.0,48.0,2.8079716207765738e-21
191,48.0,48.0,7.014619385542753e-27
192,48.0,48.0,9.670691194846258e-27
193,48.0,48.0,3.1983784874337497e-18
194,48.0,48.0,1.0393058855546432e-12
195,48.0,48.0,1.2825663983573294e-44
196,48.0,48.0,8.144977780670083e-29
197,48.0,48.0,5.95594600893224e-23
198,48.0,48.0,1.2108558961475458e-32
199,48.0,48.0,8.141433674648124e-17
200,48.0,48.0,1.238816763089599e-34
201,48.0,48.0,4.292374956368317e-31
202,48.0,48.0,2.392508491028574e-34
203,48.0,48.0,1.2146908707437627e-20
204,48.0,48.0,1.8374764130156946e-46
205,48.0,48.0,4.166796849286618e-83
206,48.0,48.0,1.2117839974613897e-46
207,48.0,48.0,4.0052934817986474e-24
208,48.0,48.0,7.65518132881069e-18
209,48.0,48.0,1.812981138358085e-35
210,48.0,48.0,3.1884457881216135e-28
211,48.0,48.0,3.761942613546926e-44
212,48.0,48.0,2.412052200515399e-14
213,48.0,48.0,3.6708455037154506e-15
214,48.0,48.0,2.345381202541275e-104
215,48.0,48.0,2.669953602462409e-10
216,48.0,48.0,3.302805143612963e-34
217,48.0,48.0,3.3528597537434454e-42
218,48.0,48.0,8.073140519897239e-40
219,48.0,48.0,1.3541619937407278e-23
220,48.0,48.0,1.4366863421282095e-46
221,48.0,48.0,3.212688743288822e-60
222,48.0,48.0,1.6696304740130244e-17
223,48.0,48.0,5.412100923546565e-18
224,48.0,48.0,7.327490824655211e-23
225,48.0,48.0,1.7850700832992916e-58
226,48.0,48.0,6.736024064216284e-44
227,48.0,48.0,6.588842190877216e-38
228,48.0,48.0,1.992130808677161e-22
229,48.0,48.0,2.6279385583353383e-63
230,48.0,48.0,1.0396675974057088e-30
231,48.0,48.0,2.5195141147941942e-27
232,48.0,48.0,3.5182500555884186e-33
233,48.0,48.0,3.898313214679317e-98
234,48.0,48.0,3.69236795951717e-17
235,48.0,48.0,1.6967114489316125e-24
236,48.0,48.0,7.719962478365393e-37
237,48.0,48.0,1.2271039269260435e-12
238,48.0,48.0,3.6437057855236405e-24
239,48.0,48.0,1.1288803628604241e-60
240,48.0,48.0,1.2482961926510024e-43
241,48.0,48.0,5.277914377047976e-31
242,48.0,48.0,6.7557643280294455e-46
243,48.0,48.0,2.2130071760807934e-63
244,48.0,48.0,1.9753426925455368e-22
245,48.0,48.0,6.403865073192085e-26
246,48.0,48.0,1.254362857196758e-40
247,48.0,48.0,1.451306603562962e-12
248,48.0,48.0,8.475021984218255e-26
249,48.0,48.0,3.012899920811762e-19
250,48.0,48.0,1.519490007346906e-28
