,n1,n2,p-values
0,48.0,48.0,0.038146002950866356
1,48.0,48.0,0.008419650572372539
2,48.0,48.0,0.15623736415612083
3,48.0,48.0,0.06530588598533354
4,48.0,48.0,0.020167694653476616
5,48.0,48.0,0.053538548829841895
6,48.0,48.0,0.4250614067709205
7,48.0,48.0,0.15113468283322634
8,48.0,48.0,0.005619355986638448
9,48.0,48.0,0.12675108514756284
10,48.0,48.0,0.10831879933971783
11,48.0,48.0,0.10241800457909528
12,48.0,48.0,0.38787167021868835
13,48.0,48.0,0.12185807920253439
14,48.0,48.0,0.0008191448833849646
15,48.0,48.0,0.005563159869096361
16,48.0,48.0,0.18873615950895967
17,48.0,48.0,0.08903458742388926
18,48.0,48.0,0.05806136254808317
19,48.0,48.0,0.37640504313607787
20,48.0,48.0,0.0004561466226001991
21,48.0,48.0,0.29651011076451295
22,48.0,48.0,0.40313951525803277
23,48.0,48.0,0.0940858849217362
24,48.0,48.0,0.09074829704514076
25,48.0,48.0,0.42506140677092213
26,48.0,48.0,0.008623624752402038
27,48.0,48.0,0.23196603388441078
28,48.0,48.0,0.07163916426547706
29,48.0,48.0,0.19296665806460506
30,48.0,48.0,0.12844544275396502
31,48.0,48.0,0.07025062716598784
32,48.0,48.0,0.05892541500644128
33,48.0,48.0,0.1849780091308849
34,48.0,48.0,0.039507550155514756
35,48.0,48.0,0.18791166014214866
36,48.0,48.0,0.16774790372597714
37,48.0,48.0,0.016264139026345485
38,48.0,48.0,0.019227482796353803
39,48.0,48.0,0.12358517600483693
40,48.0,48.0,0.0001883994006665694
41,48.0,48.0,0.1578413387064283
42,48.0,48.0,0.05806136254808317
43,48.0,48.0,0.01114275220823816
44,48.0,48.0,0.2014521615261548
45,48.0,48.0,0.01763004751571296
46,48.0,48.0,0.21280317370309387
47,48.0,48.0,0.016869816122116126
48,48.0,48.0,0.07197914200335725
49,48.0,48.0,0.06530588598533374
50,48.0,48.0,0.11602419632958061
51,48.0,48.0,0.009911624170151963
52,48.0,48.0,0.03814600295086606
53,48.0,48.0,0.214922666335788
54,48.0,48.0,0.007158220895156438
55,48.0,48.0,0.1492643302007105
56,48.0,48.0,0.04715002121812817
57,48.0,48.0,0.03800107847108038
58,48.0,48.0,0.11859544746275852
59,48.0,48.0,0.20967260601839066
60,48.0,48.0,0.10737505166212313
61,48.0,48.0,4.276393835543952e-09
62,48.0,48.0,0.2965101107645136
63,48.0,48.0,0.15967319799180557
64,48.0,48.0,0.1492643302007105
65,48.0,48.0,0.19058007111991754
66,48.0,48.0,0.0031454209855300715
67,48.0,48.0,0.0416489934158742
68,48.0,48.0,0.021687242376906196
69,48.0,48.0,0.1329451734785742
70,48.0,48.0,0.004833070122582921
71,48.0,48.0,0.0034548600443727096
72,48.0,48.0,0.1614156449084881
73,48.0,48.0,0.0044180589008763595
74,48.0,48.0,0.003454860044372713
75,48.0,48.0,0.00557544600280644
76,48.0,48.0,0.05806136254808317
77,48.0,48.0,0.028143838980162594
78,48.0,48.0,0.13433639521900997
79,48.0,48.0,0.010757620267989555
80,48.0,48.0,0.20641047330065115
81,48.0,48.0,0.06662748391133771
82,48.0,48.0,0.008419650572372586
83,48.0,48.0,0.5
84,48.0,48.0,0.26438902802090447
85,48.0,48.0,0.012547316509883891
86,48.0,48.0,0.13108401605616243
87,48.0,48.0,0.15868151513477474
88,48.0,48.0,0.0044180589008763595
89,48.0,48.0,0.04550201484909828
90,48.0,48.0,0.4306595781917577
91,48.0,48.0,0.060723021956663126
92,48.0,48.0,0.08870700799160086
93,48.0,48.0,0.04715002121812817
94,48.0,48.0,0.03205319334775525
95,48.0,48.0,0.050281048033961946
96,48.0,48.0,0.004078946159247244
97,48.0,48.0,0.02501525277978176
98,48.0,48.0,0.028585474607461043
99,48.0,48.0,0.12984574172020935
100,48.0,48.0,0.14585333860653976
101,48.0,48.0,0.05949956492198562
102,48.0,48.0,0.2977782717247964
103,48.0,48.0,0.23368163233405614
104,48.0,48.0,0.03254642285076413
105,48.0,48.0,0.005563159869096361
106,48.0,48.0,0.12667496765882402
107,48.0,48.0,0.41059399875295544
108,48.0,48.0,0.010555976690907609
109,48.0,48.0,0.02698738056760998
110,48.0,48.0,0.11934873149582798
111,48.0,48.0,0.10877452456602721
112,48.0,48.0,0.07995476336569457
113,48.0,48.0,0.058061362548083195
114,48.0,48.0,1.193046211673962e-05
115,48.0,48.0,0.021872927954042155
116,48.0,48.0,0.10230394161518358
117,48.0,48.0,0.010757620267989623
118,48.0,48.0,0.16152822666843492
119,48.0,48.0,0.053538548829841895
120,48.0,48.0,0.28489698991365525
121,48.0,48.0,0.02545544058502767
122,48.0,48.0,0.036477548326818744
123,48.0,48.0,0.005582590858390613
124,48.0,48.0,0.13782411940819822
125,48.0,48.0,0.013774361432286898
126,48.0,48.0,0.06450978654474898
127,48.0,48.0,0.049745102314077916
128,48.0,48.0,0.2486416244552757
129,48.0,48.0,0.16499379566031386
130,48.0,48.0,0.10230394161518358
131,48.0,48.0,0.31631102464432825
132,48.0,48.0,0.23155977935805616
133,48.0,48.0,0.1962359492626924
134,48.0,48.0,0.09253348825377761
135,48.0,48.0,0.11026086584148775
136,48.0,48.0,0.003495116599493603
137,48.0,48.0,0.3474919871200844
138,48.0,48.0,0.02689000343407715
139,48.0,48.0,0.015731075782528706
140,48.0,48.0,1.4799365930070826e-05
141,48.0,48.0,0.20454867585016073
142,48.0,48.0,0.006310383805735759
143,48.0,48.0,0.07230002425376642
144,48.0,48.0,0.0641157962410559
145,48.0,48.0,0.11934873149582798
146,48.0,48.0,0.14255084293958076
147,48.0,48.0,0.013138462654634172
148,48.0,48.0,0.0008191448833849646
149,48.0,48.0,0.09961609642865726
150,48.0,48.0,0.15614158211550588
151,48.0,48.0,0.31897015915241234
152,48.0,48.0,0.22553855024032554
153,48.0,48.0,0.1126093368027401
154,48.0,48.0,0.13698264761906537
155,48.0,48.0,0.021687242376906196
156,48.0,48.0,0.013909208536535296
157,48.0,48.0,0.22201823604826154
158,48.0,48.0,0.034344994057922164
159,48.0,48.0,0.0031004320176363826
160,48.0,48.0,0.011956485548345984
161,48.0,48.0,0.08142128093169665
162,48.0,48.0,0.049910320548700586
163,48.0,48.0,0.34388336232554806
164,48.0,48.0,0.006602173477258615
165,48.0,48.0,0.11266158823642991
166,48.0,48.0,0.33160221518466304
167,48.0,48.0,0.09676756666174324
168,48.0,48.0,0.013787181146153578
169,48.0,48.0,0.014965398710524375
170,48.0,48.0,0.013774361432286898
171,48.0,48.0,0.017515091066245193
172,48.0,48.0,0.03953587579172181
173,48.0,48.0,0.004963617200182839
174,48.0,48.0,0.016244499622354195
175,48.0,48.0,0.1930183031278373
176,48.0,48.0,0.04079464832704029
177,48.0,48.0,0.2618413526548943
178,48.0,48.0,0.017482217812910823
179,48.0,48.0,0.0017091410287148918
180,48.0,48.0,0.2437502685348748
181,48.0,48.0,0.0026674138176027277
182,48.0,48.0,0.034344994057922164
183,48.0,48.0,0.1227723834440656
184,48.0,48.0,0.0032241300914479173
185,48.0,48.0,2.661037124749924e-05
186,48.0,48.0,0.017156618572776342
187,48.0,48.0,0.0005092648720740452
188,48.0,48.0,0.08817165478977079
189,48.0,48.0,0.034344994057922164
190,48.0,48.0,0.16017209359453322
191,48.0,48.0,0.31351847248503206
192,48.0,48.0,0.3606528429737245
193,48.0,48.0,0.00609043706184029
194,48.0,48.0,0.19060552278163867
195,48.0,48.0,0.0099116241701519
196,48.0,48.0,0.016626472091071702
197,48.0,48.0,0.02383477871134582
198,48.0,48.0,0.08330378633720686
199,48.0,48.0,0.23711905811352085
200,48.0,48.0,0.06530588598533354
201,48.0,48.0,0.19296665806460395
202,48.0,48.0,0.23489060600859657
203,48.0,48.0,0.023700191342738645
204,48.0,48.0,0.08279258243897131
205,48.0,48.0,0.1425508429395811
206,48.0,48.0,0.01951479060401425
207,48.0,48.0,0.1677479037259777
208,48.0,48.0,0.13673220141929732
209,48.0,48.0,0.08821903509742335
210,48.0,48.0,0.020916377954725663
211,48.0,48.0,0.12667496765882402
212,48.0,48.0,0.1348983102629251
213,48.0,48.0,0.07493252452603413
214,48.0,48.0,0.1337286067970409
215,48.0,48.0,0.05085641026055885
216,48.0,48.0,0.30957976430616674
217,48.0,48.0,0.10502457539802362
218,48.0,48.0,0.03205319334775525
219,48.0,48.0,0.1327511232298233
220,48.0,48.0,0.0544239108773545
221,48.0,48.0,0.062197439269953574
222,48.0,48.0,0.05959075161890092
223,48.0,48.0,0.0060415569426720645
224,48.0,48.0,0.1435477519898633
225,48.0,48.0,0.0770181779390339
226,48.0,48.0,0.21348853962834646
227,48.0,48.0,0.22283719146556424
228,48.0,48.0,0.06291069357889652
229,48.0,48.0,0.05703188159026058
230,48.0,48.0,0.11069010875066865
231,48.0,48.0,0.035878460621761324
232,48.0,48.0,7.0138872417856155e-09
233,48.0,48.0,0.021687242376906526
234,48.0,48.0,0.19014600862873704
235,48.0,48.0,0.11178475189054521
236,48.0,48.0,0.2795141924256537
237,48.0,48.0,0.009134235982566243
238,48.0,48.0,0.13440332941359429
239,48.0,48.0,0.002533404418221902
