,n1,n2,p-values
0,48.0,48.0,1.5173097934863756e-08
1,48.0,48.0,9.387378061682344e-21
2,48.0,48.0,4.191354082349882e-08
3,48.0,48.0,1.5909403521676538e-06
4,48.0,48.0,3.0407382888515085e-09
5,48.0,48.0,6.381573538978906e-10
6,48.0,48.0,5.632940314571653e-14
7,48.0,48.0,8.622900792013362e-14
8,48.0,48.0,3.6267559614999046e-36
9,48.0,48.0,7.06213524322711e-05
10,48.0,48.0,1.0660846199364194e-38
11,48.0,48.0,6.763476005561936e-11
12,48.0,48.0,1.3718953751518813e-26
13,48.0,48.0,2.1445764778527382e-18
14,48.0,48.0,7.1864340943656325e-06
15,48.0,48.0,1.1202150738837967e-14
16,48.0,48.0,1.9736823052049135e-12
17,48.0,48.0,1.3795379456557142e-11
18,48.0,48.0,9.513575514290488e-19
19,48.0,48.0,3.9770848660337304e-13
20,48.0,48.0,7.663922404064134e-12
21,48.0,48.0,2.3207088208098506e-14
22,48.0,48.0,1.0829733214866488e-12
23,48.0,48.0,2.4471386155111177e-08
24,48.0,48.0,2.337934189892055e-28
25,48.0,48.0,5.500683424608375e-12
26,48.0,48.0,4.3169702436374323e-13
27,48.0,48.0,4.361967867557661e-09
28,48.0,48.0,2.9271382312608363e-09
29,48.0,48.0,1.8403361060534342e-35
30,48.0,48.0,4.820598308957435e-10
31,48.0,48.0,2.170447778085875e-63
32,48.0,48.0,6.406631763957713e-28
33,48.0,48.0,2.710332030836506e-06
34,48.0,48.0,1.7644543623249941e-16
35,48.0,48.0,4.9147940682776846e-58
36,48.0,48.0,4.2631701310829506e-17
37,48.0,48.0,2.414013168460429e-13
38,48.0,48.0,7.455702867469357e-36
39,48.0,48.0,3.6754196085901905e-10
40,48.0,48.0,3.5856789589587796e-13
41,48.0,48.0,1.54063997399583e-06
42,48.0,48.0,3.618683371432429e-30
43,48.0,48.0,2.6410452716376634e-10
44,48.0,48.0,6.616271435187092e-63
45,48.0,48.0,2.4548781953530236e-12
46,48.0,48.0,1.5631837457399663e-36
47,48.0,48.0,8.709524902307257e-18
48,48.0,48.0,8.045971276524934e-16
49,48.0,48.0,2.3463998436159998e-29
50,48.0,48.0,1.6225896590951809e-56
51,48.0,48.0,7.568449124001227e-20
52,48.0,48.0,1.393374838395137e-28
53,48.0,48.0,2.8986927583845265e-32
54,48.0,48.0,1.610622072824617e-12
55,48.0,48.0,5.0597368204564304e-15
56,48.0,48.0,5.390575678132979e-41
57,48.0,48.0,3.5379075810911416e-14
58,48.0,48.0,9.514178547006805e-40
59,48.0,48.0,2.405081206085954e-07
60,48.0,48.0,3.208675895764327e-46
61,48.0,48.0,3.592081423394869e-20
62,48.0,48.0,1.2633190964826469e-15
63,48.0,48.0,2.22789217022269e-20
64,48.0,48.0,9.174504413058026e-14
65,48.0,48.0,4.758406027775883e-06
66,48.0,48.0,2.6335227557991976e-10
67,48.0,48.0,2.1772999185929178e-09
68,48.0,48.0,5.952052306445634e-09
69,48.0,48.0,2.512864471098357e-13
70,48.0,48.0,1.0022195864000775e-08
71,48.0,48.0,1.8112108506201742e-12
72,48.0,48.0,1.6672552283478824e-09
73,48.0,48.0,1.5506275273454944e-13
74,48.0,48.0,1.1417526781366826e-25
75,48.0,48.0,6.460584019736727e-08
76,48.0,48.0,1.4440884922863563e-14
77,48.0,48.0,4.471630413632501e-12
78,48.0,48.0,4.3717606774912845e-08
79,48.0,48.0,3.3331229877711846e-09
80,48.0,48.0,1.8410159128068025e-14
81,48.0,48.0,1.0865923097587993e-09
82,48.0,48.0,4.8510282674323955e-23
83,48.0,48.0,6.47095240744855e-14
84,48.0,48.0,5.132925784496352e-06
85,48.0,48.0,2.5072412178700944e-14
86,48.0,48.0,4.225202317830488e-18
87,48.0,48.0,2.6676016072995387e-12
88,48.0,48.0,5.309290223423153e-29
89,48.0,48.0,1.5668633497029022e-19
90,48.0,48.0,1.8830941210148422e-34
91,48.0,48.0,1.0814820883624878e-15
92,48.0,48.0,1.5850300871846027e-12
93,48.0,48.0,7.868380829744373e-20
94,48.0,48.0,2.0661244835598712e-19
95,48.0,48.0,5.885074428249961e-08
96,48.0,48.0,3.399209625062267e-16
97,48.0,48.0,4.749722979395724e-10
98,48.0,48.0,5.534637609361415e-19
99,48.0,48.0,9.449352239588406e-17
100,48.0,48.0,1.1676053290303154e-12
101,48.0,48.0,2.788710144264663e-18
102,48.0,48.0,2.4657483877776705e-13
103,48.0,48.0,5.566563183578492e-18
104,48.0,48.0,5.646239868145001e-07
105,48.0,48.0,5.318601758618525e-23
106,48.0,48.0,9.387898040163357e-14
107,48.0,48.0,6.030571901291979e-09
108,48.0,48.0,2.0567787763315237e-11
109,48.0,48.0,3.5569237866990333e-28
110,48.0,48.0,1.33074810034199e-23
111,48.0,48.0,8.004767539520386e-18
112,48.0,48.0,1.615382397661161e-16
113,48.0,48.0,5.428579274891757e-15
114,48.0,48.0,2.000459572078907e-22
115,48.0,48.0,8.194335556880339e-15
116,48.0,48.0,7.30857705597255e-20
117,48.0,48.0,2.9867007597874186e-32
118,48.0,48.0,7.312731222026143e-11
119,48.0,48.0,1.7964906732433303e-23
120,48.0,48.0,8.585012848747626e-28
121,48.0,48.0,3.5353124987011726e-71
122,48.0,48.0,8.373037446598232e-21
123,48.0,48.0,2.9280414005960787e-12
124,48.0,48.0,1.6892426103965792e-62
125,48.0,48.0,2.25215677581814e-25
126,48.0,48.0,6.428917523726535e-34
127,48.0,48.0,6.64172356512106e-20
128,48.0,48.0,1.0959054580734255e-06
129,48.0,48.0,9.90288582237684e-18
130,48.0,48.0,9.797169953100761e-20
131,48.0,48.0,5.4386825067344495e-06
132,48.0,48.0,4.626487493709411e-19
133,48.0,48.0,6.94966067828718e-13
134,48.0,48.0,1.0570639745353829e-09
135,48.0,48.0,7.717726017239904e-10
136,48.0,48.0,5.336188514304905e-11
137,48.0,48.0,7.544459411785002e-06
138,48.0,48.0,7.881453785027332e-13
139,48.0,48.0,2.3439561326033276e-15
140,48.0,48.0,2.8238376919886203e-52
141,48.0,48.0,1.9078129728350484e-16
142,48.0,48.0,3.7424987216575537e-13
143,48.0,48.0,4.807519198917639e-25
144,48.0,48.0,4.430335885884015e-17
145,48.0,48.0,2.2948144463941802e-11
146,48.0,48.0,1.2967808576761e-13
147,48.0,48.0,1.8513008986563898e-15
148,48.0,48.0,6.728888688805816e-09
149,48.0,48.0,1.9980943589815645e-13
150,48.0,48.0,5.192115331392442e-16
151,48.0,48.0,4.995572509868858e-08
152,48.0,48.0,6.454488039433483e-29
153,48.0,48.0,1.5408274283362298e-05
154,48.0,48.0,8.3142641654080605e-22
155,48.0,48.0,2.0691206036533453e-12
156,48.0,48.0,5.411466977154343e-12
157,48.0,48.0,1.2422675597148585e-66
158,48.0,48.0,2.357175342293538e-39
159,48.0,48.0,5.3469738001864605e-12
160,48.0,48.0,2.643889774830591e-09
161,48.0,48.0,9.643348434952485e-09
162,48.0,48.0,4.1532347660889274e-19
163,48.0,48.0,1.8496545125591853e-16
164,48.0,48.0,4.788611587035661e-34
165,48.0,48.0,6.35755127576631e-30
166,48.0,48.0,1.0094077118035747e-28
167,48.0,48.0,3.078460734256256e-25
168,48.0,48.0,5.245038743350578e-07
169,48.0,48.0,7.788601628445552e-28
170,48.0,48.0,7.065331932832875e-09
171,48.0,48.0,2.613643870004302e-308
172,48.0,48.0,9.33319573922859e-15
173,48.0,48.0,2.9693019596279322e-09
174,48.0,48.0,2.460979614589402e-06
175,48.0,48.0,3.050214379659593e-11
176,48.0,48.0,9.266052320000471e-24
177,48.0,48.0,6.381470424696709e-17
178,48.0,48.0,9.43363490986275e-10
179,48.0,48.0,3.501775855771163e-33
180,48.0,48.0,1.5437830824324307e-13
181,48.0,48.0,1.2225265517147947e-14
182,48.0,48.0,1.6898670924100766e-32
183,48.0,48.0,1.9810501863099717e-47
184,48.0,48.0,3.6572807296538313e-26
185,48.0,48.0,2.1071369941470962e-13
186,48.0,48.0,1.9063191692990466e-07
187,48.0,48.0,3.0133771566337295e-19
188,48.0,48.0,7.676412045636906e-15
189,48.0,48.0,6.053550132852896e-20
190,48.0,48.0,6.353842367278399e-22
191,48.0,48.0,2.7975249115313822e-15
192,48.0,48.0,1.6466733985829706e-21
193,48.0,48.0,1.4936433839953192e-13
194,48.0,48.0,9.920394121489442e-22
195,48.0,48.0,1.7424089856763748e-32
196,48.0,48.0,1.9735489180331698e-08
197,48.0,48.0,1.1387711546554935e-14
198,48.0,48.0,1.2296977001495696e-61
199,48.0,48.0,4.707079287578016e-10
200,48.0,48.0,2.136795093780784e-26
201,48.0,48.0,3.2779205392869835e-11
202,48.0,48.0,1.0097509994310991e-56
203,48.0,48.0,3.127470253720705e-07
204,48.0,48.0,1.0017048689701282e-07
205,48.0,48.0,3.3339292736798265e-23
206,48.0,48.0,3.795276854882141e-10
207,48.0,48.0,6.275438786235745e-06
208,48.0,48.0,3.7987519537153963e-10
209,48.0,48.0,8.832543038102736e-13
210,48.0,48.0,1.1093441508497588e-07
211,48.0,48.0,2.1216394855018836e-08
212,48.0,48.0,1.677720375306869e-20
213,48.0,48.0,9.261748856038444e-07
214,48.0,48.0,5.602213044460335e-28
215,48.0,48.0,2.531217438915464e-12
216,48.0,48.0,3.854756708116644e-30
217,48.0,48.0,5.779538554648488e-30
218,48.0,48.0,1.667904864371495e-08
