,n1,n2,p-values
0,95.0,1.0,8.567076188761755e-11
1,95.0,1.0,1.2009082486392945e-12
2,95.0,1.0,1.274848360197652e-13
3,95.0,1.0,1.7826813183782552e-11
4,93.0,3.0,1.0192968542815344e-27
5,94.0,2.0,4.9929229696043635e-05
6,95.0,1.0,1.8600453894564032e-05
7,95.0,1.0,8.854163467048581e-16
8,95.0,1.0,8.830529660247809e-12
9,95.0,1.0,1.643345605489112e-16
10,95.0,1.0,1.0683253185066715e-06
11,95.0,1.0,0.0034600152134064556
12,95.0,1.0,2.8493535310132987e-12
13,95.0,1.0,2.4053844375177473e-05
14,95.0,1.0,3.814232128732657e-12
15,95.0,1.0,3.41658547463962e-10
16,95.0,1.0,2.623181006337248e-08
17,95.0,1.0,1.0434145874324271e-13
18,95.0,1.0,8.145902737051691e-08
19,95.0,1.0,3.56417400563732e-14
20,95.0,1.0,6.847709924651398e-05
21,95.0,1.0,1.3852435505692709e-05
22,94.0,2.0,1.0500559955515207e-07
23,95.0,1.0,1.557279495476709e-07
24,95.0,1.0,1.3462370771146683e-10
25,94.0,2.0,0.04734303673521168
26,91.0,5.0,1.4650621900931253e-11
27,95.0,1.0,1.7117076089774216e-10
28,95.0,1.0,4.350787992700058e-07
29,93.0,3.0,1.5539408639534193e-05
30,94.0,2.0,7.1347799692746095e-09
31,95.0,1.0,3.2086429781808763e-11
32,95.0,1.0,5.667329765974843e-13
33,94.0,2.0,4.065465627548243e-07
34,95.0,1.0,1.3967553047187632e-13
35,95.0,1.0,1.421139697039596e-16
36,94.0,2.0,4.611991611533369e-12
37,95.0,1.0,8.902563388469428e-08
38,95.0,1.0,1.478757755631803e-17
39,95.0,1.0,1.2491117678155707e-10
40,95.0,1.0,0.014794704273502483
41,95.0,1.0,1.2114173297389306e-10
42,95.0,1.0,1.184784471447471e-15
43,95.0,1.0,7.170888834222605e-16
44,95.0,1.0,2.6784968091130426e-13
45,95.0,1.0,5.150887168769855e-08
46,95.0,1.0,0.0001735887884026645
47,92.0,4.0,1.1609993740068171e-05
48,95.0,1.0,3.3669742480730367e-10
49,95.0,1.0,0.00045859496260760435
50,94.0,2.0,1.189360843898145e-10
51,95.0,1.0,5.75289400718486e-12
52,94.0,2.0,0.0022921133308482205
53,94.0,2.0,2.970386550750384e-09
54,94.0,2.0,2.5444774128870487e-14
55,95.0,1.0,5.792966411551568e-11
56,94.0,2.0,0.0001634563465677397
57,95.0,1.0,0.003570863779419746
58,95.0,1.0,3.928086168074346e-09
