,n1,n2,p-values
0,81.0,15.0,0.27463705027401664
1,93.0,3.0,0.11792488112846339
2,69.0,27.0,0.19503394774634975
3,91.0,5.0,0.002169870722559664
4,88.0,8.0,0.05369772374823456
5,85.0,11.0,0.0899540926015775
6,86.0,10.0,0.10032289791058452
7,95.0,1.0,0.0009333515562059308
8,92.0,4.0,0.10578058290501174
9,83.0,13.0,0.27267312892348095
10,92.0,4.0,0.035048986946378584
11,94.0,2.0,0.012100784449201365
12,76.0,20.0,0.2809347999300521
13,80.0,16.0,0.2166780023057528
14,83.0,13.0,0.08943072528799689
15,94.0,2.0,0.01300561750790068
16,90.0,6.0,0.0728927315839563
17,90.0,6.0,0.043531013971962115
18,94.0,2.0,0.0008893329500287393
19,93.0,3.0,0.029004731605744363
20,70.0,26.0,0.26709034376018265
21,87.0,9.0,0.0005878989127310326
22,89.0,7.0,0.01913078023897141
23,74.0,22.0,0.1846686722386
24,92.0,4.0,3.6812763162838903e-16
25,85.0,11.0,0.15965426111536624
26,88.0,8.0,0.11060570676849257
27,85.0,11.0,0.19285310037097192
28,89.0,7.0,0.12744678053877612
29,69.0,27.0,0.4386178103180907
30,95.0,1.0,0.01615577040918526
31,94.0,2.0,0.004397066942497838
32,93.0,3.0,0.08580279876013097
33,95.0,1.0,0.0007460207322604576
34,84.0,12.0,0.22191099316232182
35,94.0,2.0,0.017269798615389798
36,93.0,3.0,0.06740044709834228
37,74.0,22.0,0.2548682495499942
38,94.0,2.0,0.014307410515477957
39,86.0,10.0,0.20047757011079897
40,47.0,49.0,0.3004355241197392
41,84.0,12.0,0.10678406983846833
42,92.0,4.0,0.08053707704943308
43,89.0,7.0,0.23645268766153155
44,67.0,29.0,0.2666869239096398
45,90.0,6.0,0.06955568820974187
46,92.0,4.0,0.0018071246557626226
47,93.0,3.0,0.0037060384808547454
48,93.0,3.0,0.06390124661613095
49,91.0,5.0,0.017966312838810627
50,94.0,2.0,0.0030943365518642514
51,90.0,6.0,0.12862783759516305
52,82.0,14.0,0.39622259042173685
53,87.0,9.0,0.07187015365509308
54,92.0,4.0,0.009926582830655515
55,94.0,2.0,0.010719042816905123
56,86.0,10.0,0.0751458094393366
57,66.0,30.0,0.25920660080419
58,90.0,6.0,0.014000861606967955
59,88.0,8.0,0.22244360094371474
60,81.0,15.0,0.2273996928017607
61,85.0,11.0,0.02263082916649758
62,74.0,22.0,0.23883419053052196
63,91.0,5.0,0.0812332230296341
64,90.0,6.0,0.003063726996212354
65,87.0,9.0,0.22429147915992786
66,95.0,1.0,0.00058566545248674
67,92.0,4.0,0.015909968637229377
68,65.0,31.0,0.046980006862881125
69,95.0,1.0,0.013079451215855372
70,94.0,2.0,0.015359836579315793
71,93.0,3.0,0.09632003846316523
72,95.0,1.0,0.0010503118955597856
73,94.0,2.0,0.03910244494464685
74,91.0,5.0,0.019891087068878006
75,89.0,7.0,0.15152128361796202
76,93.0,3.0,1.6929671010202125e-19
77,81.0,15.0,0.2063251664984147
78,95.0,1.0,0.0006223485926928446
79,64.0,32.0,0.2820800218904666
80,94.0,2.0,0.00011712204358452096
81,46.0,50.0,0.43984611105629684
82,93.0,3.0,0.02205191828659658
83,93.0,3.0,0.01024602399974716
84,93.0,3.0,0.31177354172587546
85,90.0,6.0,0.0003009365895050537
86,93.0,3.0,0.012798340757507628
87,90.0,6.0,0.000548225443442235
88,92.0,4.0,0.048224770851727966
89,79.0,17.0,0.22780726350624697
90,91.0,5.0,0.05148601271436063
91,88.0,8.0,0.05072206841027799
92,94.0,2.0,0.0031803043468482868
93,65.0,31.0,0.3080972252821025
94,55.0,41.0,0.31685558931346025
95,92.0,4.0,0.06691111956823309
96,93.0,3.0,0.00978959562438463
97,93.0,3.0,4.280292262012262e-54
98,74.0,22.0,0.05636867930443606
99,94.0,2.0,0.03598715687788172
100,94.0,2.0,0.01300561750790068
101,90.0,6.0,0.03310901769238951
102,72.0,24.0,0.4544604373372234
103,92.0,4.0,0.011299117798815629
104,64.0,32.0,0.05179213602273838
105,93.0,3.0,9.340222164800257e-13
106,91.0,5.0,0.0643468435419507
107,90.0,6.0,0.04619261842319926
108,87.0,9.0,0.08303949286446372
109,88.0,8.0,0.026885993727248005
110,54.0,42.0,0.3807354342429727
111,85.0,11.0,0.33279439834278923
112,94.0,2.0,0.017269798615389798
113,77.0,19.0,0.3084146486706797
114,60.0,36.0,0.391224818583349
115,89.0,7.0,0.03374079124378802
116,91.0,5.0,0.05875129030740562
117,90.0,6.0,0.15199865437843835
118,22.0,74.0,0.4841383259792501
119,87.0,9.0,0.24884008757984405
120,94.0,2.0,0.01465074961501345
121,92.0,4.0,0.052461480686866235
122,66.0,30.0,0.15256098465905815
123,95.0,1.0,0.0008929080097863512
124,93.0,3.0,7.785591270051398e-05
125,92.0,4.0,0.04858875428074244
126,84.0,12.0,0.2567712943500506
127,93.0,3.0,0.0016167969675316943
128,78.0,18.0,0.2515112735354599
129,87.0,9.0,0.16832046676762558
130,58.0,38.0,0.24227827362647025
131,92.0,4.0,0.0925053916036166
132,86.0,10.0,0.15963427284201714
133,70.0,26.0,0.22707184906443695
134,92.0,4.0,0.00014844063007320705
135,88.0,8.0,0.16863672333542506
136,78.0,18.0,0.1416058075961607
137,91.0,5.0,0.10269531300547252
138,90.0,6.0,0.19201844307698857
139,90.0,6.0,0.12478700395447101
140,88.0,8.0,0.03256994615147907
141,90.0,6.0,0.013334161085430632
142,95.0,1.0,0.01498348164045371
143,95.0,1.0,0.0010428237696310796
144,94.0,2.0,0.01397136014888542
145,86.0,10.0,0.0488075025738816
146,93.0,3.0,0.0020613596007115894
147,63.0,33.0,0.3014068595824852
148,79.0,17.0,0.17828059726683732
149,93.0,3.0,0.00031927630001372216
150,94.0,2.0,0.01851568888197893
151,90.0,6.0,0.017006865949130513
152,93.0,3.0,0.0020613596007115894
153,80.0,16.0,0.15502976330792506
154,89.0,7.0,0.06459667892815474
155,85.0,11.0,0.3118693596469655
156,94.0,2.0,0.04866475327484813
157,94.0,2.0,0.007417349544886567
158,83.0,13.0,0.07331329244407186
159,90.0,6.0,0.017851183195765362
160,94.0,2.0,0.013652725074779659
161,93.0,3.0,0.07485743389153524
162,93.0,3.0,0.004070530283558774
163,84.0,12.0,0.31721019231249403
164,90.0,6.0,0.03310901769238951
165,86.0,10.0,0.15996595993744134
166,73.0,23.0,0.24377766762884395
167,95.0,1.0,0.0006815132055564559
168,95.0,1.0,1.2970504145646244e-05
169,80.0,16.0,0.20282094993697192
170,83.0,13.0,0.2602835177388393
171,91.0,5.0,0.040974403876779746
172,92.0,4.0,0.06734999728762708
173,95.0,1.0,0.0006612193711928765
174,95.0,1.0,0.00058566545248674
175,90.0,6.0,0.018858841606587132
176,93.0,3.0,0.01621520262734882
177,93.0,3.0,0.15535577179940013
178,85.0,11.0,0.22013433485078943
179,78.0,18.0,0.2648164751526318
