,n1,n2,p-values
0,95.0,1.0,7.919531955474538e-06
1,95.0,1.0,2.2258278082856752e-07
2,95.0,1.0,7.157090227160063e-08
3,95.0,1.0,1.722958231929147e-11
4,95.0,1.0,1.5080691974050659e-09
5,95.0,1.0,9.50384278218708e-06
6,94.0,2.0,0.027347338979121213
7,93.0,3.0,0.03940087039384915
8,95.0,1.0,7.277690750850779e-05
9,92.0,4.0,0.008582453091065497
10,94.0,2.0,0.0016526408465505373
11,93.0,3.0,4.383904994041901e-12
12,94.0,2.0,1.7752406240791174e-09
13,94.0,2.0,0.012765058455570934
14,95.0,1.0,2.4501316594844916e-09
15,95.0,1.0,3.938247812764526e-08
16,93.0,3.0,0.01899798291020623
17,95.0,1.0,1.675124781353265e-05
18,95.0,1.0,3.193409695188733e-08
19,95.0,1.0,3.4585648951151306e-07
20,95.0,1.0,2.3161803345340496e-06
21,94.0,2.0,4.4309000429933465e-05
22,95.0,1.0,0.01894358013465689
23,95.0,1.0,3.1685800874016913e-09
24,95.0,1.0,7.864829846213543e-08
25,95.0,1.0,2.150141106503866e-05
26,95.0,1.0,7.65254831979383e-06
27,95.0,1.0,5.62074620441407e-09
28,95.0,1.0,2.93337337797142e-07
29,95.0,1.0,0.0003296426056218182
30,95.0,1.0,7.628436496960299e-10
31,92.0,4.0,0.005673787043867731
32,95.0,1.0,0.005248970474774347
33,95.0,1.0,2.0885258754095743e-06
34,94.0,2.0,4.7275822849174964e-05
35,95.0,1.0,0.00339213968296368
36,94.0,2.0,9.443620418162407e-06
37,95.0,1.0,4.407336867344516e-09
38,93.0,3.0,0.0036665616581175635
39,95.0,1.0,3.737501045167814e-06
40,93.0,3.0,0.000441614320320523
41,94.0,2.0,0.006672693023151759
42,95.0,1.0,8.837797206791748e-05
43,95.0,1.0,1.021972625479608e-06
44,95.0,1.0,8.713805710147901e-05
45,94.0,2.0,1.7412031641616063e-05
46,94.0,2.0,9.482114949003556e-07
47,95.0,1.0,0.00017409163900352934
48,94.0,2.0,0.00033082915084060876
49,93.0,3.0,4.451212247622075e-08
50,92.0,4.0,2.2788302133727798e-07
51,94.0,2.0,3.788381795764232e-05
52,93.0,3.0,0.019834032908475217
53,94.0,2.0,0.004956670673983188
54,93.0,3.0,0.0016918844269928261
55,94.0,2.0,0.008149215383220783
56,95.0,1.0,2.9465989554389634e-06
57,95.0,1.0,1.1126372869198e-05
58,94.0,2.0,0.0034975356263035368
59,95.0,1.0,3.303925676228575e-07
60,95.0,1.0,0.008802683771753495
61,95.0,1.0,2.377027358092949e-09
62,95.0,1.0,1.0932322562367719e-05
63,95.0,1.0,1.919933563588006e-05
64,95.0,1.0,3.607374978507857e-06
65,95.0,1.0,2.4441503967049928e-05
66,95.0,1.0,0.0023122427404472182
67,94.0,2.0,3.954987231659311e-05
68,95.0,1.0,0.0012378094721567498
69,94.0,2.0,0.0015101639791857114
70,95.0,1.0,2.3382099543129285e-06
71,93.0,3.0,9.227679620882364e-08
72,94.0,2.0,0.010968388912783776
73,95.0,1.0,3.807494228082645e-07
74,94.0,2.0,5.5743410839228905e-08
75,95.0,1.0,2.3100207756634762e-06
76,95.0,1.0,3.155745244110441e-08
77,93.0,3.0,0.023216018639473802
78,94.0,2.0,0.0011417693575777156
79,95.0,1.0,1.5662177783627904e-05
80,95.0,1.0,3.518029024109867e-05
81,93.0,3.0,5.032893529103629e-06
82,95.0,1.0,1.645443830695305e-09
83,95.0,1.0,0.0008085212666185564
84,94.0,2.0,2.2799660179576804e-05
85,94.0,2.0,0.012940233653108039
86,93.0,3.0,0.006519610320965947
87,95.0,1.0,3.1137196414069925e-08
88,95.0,1.0,7.869755167399581e-06
89,95.0,1.0,5.0797651767620086e-06
90,93.0,3.0,4.598371328758622e-13
91,94.0,2.0,0.0016085940863141562
92,93.0,3.0,0.00792104351519743
93,93.0,3.0,0.03164167227123938
94,95.0,1.0,7.183137279611447e-07
95,95.0,1.0,0.0003167277242986983
96,94.0,2.0,5.8452365016977685e-05
97,95.0,1.0,2.461568361103771e-07
98,95.0,1.0,4.59070362808442e-07
99,95.0,1.0,1.6333574876779787e-06
100,94.0,2.0,0.018036706163400952
101,95.0,1.0,0.0003025059462305598
102,95.0,1.0,2.012783793313289e-08
103,95.0,1.0,3.059869959673793e-06
104,95.0,1.0,0.0016075630925987603
105,94.0,2.0,0.00212935677449518
106,95.0,1.0,1.5724061089610253e-06
107,95.0,1.0,0.00021270247235671589
108,95.0,1.0,5.4221832109639535e-08
109,95.0,1.0,1.628294977828535e-07
110,94.0,2.0,0.0006369700463958568
111,95.0,1.0,4.3895414794024133e-10
112,93.0,3.0,0.01980909558138269
113,95.0,1.0,7.446454048878597e-10
114,95.0,1.0,1.3513008068109416e-08
115,94.0,2.0,1.2279535540685887e-06
116,94.0,2.0,0.012878335258719013
117,93.0,3.0,0.0353215910014191
118,95.0,1.0,2.6419371603872794e-05
119,94.0,2.0,1.933912360401166e-05
120,94.0,2.0,0.0007592919899353396
121,95.0,1.0,3.364341670353561e-08
122,94.0,2.0,1.8258971371868838e-07
123,95.0,1.0,0.00020216667869548104
124,95.0,1.0,9.431582026699621e-08
125,94.0,2.0,1.8431566294777056e-05
126,95.0,1.0,6.246441830574106e-08
127,94.0,2.0,4.964373739701196e-06
128,94.0,2.0,2.026701903399696e-07
129,94.0,2.0,0.012586969631579412
130,95.0,1.0,1.9871332101905484e-07
131,91.0,5.0,2.235203915530293e-05
132,95.0,1.0,4.705317624883291e-07
133,94.0,2.0,6.575101908773143e-07
134,94.0,2.0,0.004411739513836155
135,94.0,2.0,0.005682753828575537
136,95.0,1.0,4.835253316519168e-08
137,94.0,2.0,3.265302227218783e-06
138,95.0,1.0,3.0294409344699174e-05
139,95.0,1.0,2.4273560489491498e-08
140,94.0,2.0,0.050557735112484646
