,n1,n2,p-values
0,95.0,1.0,9.052210714386434e-10
1,95.0,1.0,0.00021555507354818068
2,95.0,1.0,0.0044436753012748065
3,95.0,1.0,1.0066442339968558e-08
4,95.0,1.0,0.037928397774245996
5,95.0,1.0,1.4381894308067448e-09
6,95.0,1.0,1.4242325407190411e-06
7,95.0,1.0,1.4701058555779142e-10
8,95.0,1.0,6.997905370198675e-09
9,95.0,1.0,5.894094829245008e-11
10,95.0,1.0,0.0004776360634267003
11,95.0,1.0,4.284934066168817e-18
12,95.0,1.0,9.653907661994253e-07
13,95.0,1.0,9.560022069362292e-10
14,95.0,1.0,2.0337902567830265e-12
15,95.0,1.0,4.134182550996274e-09
16,95.0,1.0,2.416055670884218e-07
17,95.0,1.0,9.80624452644994e-09
18,95.0,1.0,8.426178878481196e-14
19,95.0,1.0,0.00016803888490410813
20,95.0,1.0,4.608467210147401e-05
21,95.0,1.0,3.0024994466839486e-06
22,95.0,1.0,7.298993581492691e-07
23,95.0,1.0,8.835269760395256e-10
24,95.0,1.0,3.616852289554479e-08
25,95.0,1.0,7.969978352800159e-09
26,95.0,1.0,1.023517877414526e-07
27,95.0,1.0,7.86649245362454e-06
28,95.0,1.0,2.4667751901930074e-16
29,95.0,1.0,2.9399947172546973e-12
30,95.0,1.0,9.915906125807657e-14
31,95.0,1.0,2.2086982353197362e-16
32,95.0,1.0,0.0002987721853380006
33,95.0,1.0,9.291920892333833e-14
34,95.0,1.0,7.586248840289706e-11
35,95.0,1.0,0.0003751884145770181
36,95.0,1.0,5.238932141867259e-15
37,95.0,1.0,7.443354004237328e-08
38,95.0,1.0,5.149833193383656e-07
39,95.0,1.0,1.1115905007424948e-10
40,95.0,1.0,1.1729836809291289e-11
41,95.0,1.0,5.452904028934329e-09
42,95.0,1.0,2.2627258247904137e-10
43,95.0,1.0,9.578194585444641e-18
44,95.0,1.0,1.6712930970132482e-05
45,95.0,1.0,6.928456247601993e-10
46,95.0,1.0,2.550943712070264e-16
47,95.0,1.0,0.002170441812054477
48,95.0,1.0,2.213485723249053e-13
49,95.0,1.0,4.18283402359316e-13
50,95.0,1.0,2.836410134299928e-08
51,95.0,1.0,4.0844497788216176e-07
52,95.0,1.0,7.624528522738006e-13
53,95.0,1.0,4.26171303742059e-12
54,95.0,1.0,8.832967273729273e-16
55,95.0,1.0,1.2083876569301338e-12
56,95.0,1.0,3.7950715974880215e-06
57,95.0,1.0,1.2445391138197743e-07
58,95.0,1.0,0.010117888784158442
59,95.0,1.0,1.6547476785871708e-11
60,95.0,1.0,2.950658774278589e-13
61,95.0,1.0,4.756078873437229e-16
62,95.0,1.0,1.9513188242741152e-17
63,95.0,1.0,5.078764561252021e-15
64,95.0,1.0,1.4226296727335404e-14
65,95.0,1.0,5.435004682316033e-06
66,95.0,1.0,0.00016485129752413745
67,95.0,1.0,4.3742895169992136e-11
