,n1,n2,p-values
0,95.0,1.0,0.0008281465797783084
1,95.0,1.0,0.01615577040918526
2,95.0,1.0,0.4015244816759569
3,95.0,1.0,0.11580345426487032
4,95.0,1.0,0.016535006416607895
5,95.0,1.0,0.0006415030072894615
6,1.0,95.0,0.3036569480736704
7,95.0,1.0,0.12135986961920359
8,95.0,1.0,0.12334983069874073
9,1.0,95.0,0.29997889938949507
10,1.0,95.0,0.3872165002559873
11,95.0,1.0,0.017718903364096372
12,95.0,1.0,0.01247238923628052
13,95.0,1.0,0.015420697468426546
14,95.0,1.0,0.02198555787429195
15,95.0,1.0,0.12334983069874073
16,95.0,1.0,0.019396169474944252
17,95.0,1.0,3.873616739640748e-05
18,94.0,2.0,0.10766821529305148
19,94.0,2.0,0.052107756493441265
20,95.0,1.0,0.12004291333449624
21,94.0,2.0,0.2333853109286328
22,94.0,2.0,0.05844279557261163
23,1.0,95.0,0.28184253532984427
24,95.0,1.0,0.013079451215855372
25,95.0,1.0,0.4157905088784359
26,95.0,1.0,0.0007460207322604576
27,95.0,1.0,0.11791079959268669
28,95.0,1.0,0.10106711591100281
29,94.0,2.0,0.38816038503257766
30,95.0,1.0,0.10631678588812749
31,95.0,1.0,0.018133246574333697
32,95.0,1.0,0.13566203867772997
33,1.0,95.0,0.369771321440146
34,1.0,95.0,0.09730532309844869
35,94.0,2.0,0.3925371234861595
36,95.0,1.0,0.1076212214481308
37,95.0,1.0,0.0157843803149227
38,92.0,4.0,0.07869324354055057
39,95.0,1.0,0.0157843803149227
40,95.0,1.0,0.011334351973354678
41,95.0,1.0,0.3857717609858855
42,1.0,95.0,0.3853400860965008
43,95.0,1.0,0.01217854719793644
44,1.0,95.0,0.4134772495497075
45,95.0,1.0,0.013392914686605225
46,95.0,1.0,0.011539011086706274
47,1.0,95.0,0.23691032167426845
48,95.0,1.0,0.01855385588060413
49,1.0,95.0,0.38228158762852404
50,95.0,1.0,0.11177760103706769
51,91.0,5.0,0.07708246427590876
52,1.0,95.0,0.23874557679835018
53,95.0,1.0,0.029109542085294704
54,94.0,2.0,0.3974603613780421
55,95.0,1.0,0.1492048519986513
56,94.0,2.0,0.1230202857049082
57,95.0,1.0,0.09602408211265162
58,95.0,1.0,0.015413601230134705
