,n1,n2,p-values
0,95.0,1.0,5.900931465295829e-06
1,95.0,1.0,4.430478731062873e-05
2,95.0,1.0,0.00011701245706304435
3,95.0,1.0,0.4821485755313509
4,95.0,1.0,2.8114768957385367e-06
5,95.0,1.0,2.9480181806490757e-06
6,95.0,1.0,5.958626333128345e-10
7,95.0,1.0,0.14058890589970446
8,95.0,1.0,0.012565653140930163
9,95.0,1.0,0.0041570951344859905
10,95.0,1.0,1.689405728193235e-09
11,95.0,1.0,0.2569923212566289
12,95.0,1.0,1.0077161410029952e-06
13,95.0,1.0,2.7584750346276766e-09
14,94.0,2.0,0.05806259946759431
15,95.0,1.0,1.6375995631632828e-10
16,95.0,1.0,0.001763149811210319
17,95.0,1.0,1.1677395661987213e-05
18,95.0,1.0,8.986600940470713e-06
19,95.0,1.0,2.030991391140568e-06
20,95.0,1.0,2.6471791529417287e-06
21,95.0,1.0,0.09688301937658411
22,95.0,1.0,0.31457680956167466
23,95.0,1.0,0.0003762396083981234
24,95.0,1.0,1.208006730766909e-05
25,95.0,1.0,0.0043041760205680644
26,95.0,1.0,0.00012517897935983885
27,95.0,1.0,0.010499468261162555
28,95.0,1.0,0.01720778543596977
29,95.0,1.0,0.0002445521772357437
30,95.0,1.0,8.510901766890333e-05
31,95.0,1.0,1.6413150074874212e-07
32,95.0,1.0,0.03720359386250599
33,89.0,7.0,0.06943688694859393
34,95.0,1.0,0.000415110992831119
35,95.0,1.0,1.1771899179250109e-06
36,95.0,1.0,3.0054106673643026e-07
37,95.0,1.0,2.1232468577727478e-05
38,95.0,1.0,0.0029538493525154085
39,95.0,1.0,2.8694842891844485e-06
40,95.0,1.0,1.2819543903605396e-05
41,95.0,1.0,0.0023062638276664556
42,95.0,1.0,9.866933750557488e-06
43,95.0,1.0,0.058600052352920595
44,95.0,1.0,4.1065104698444395e-06
45,95.0,1.0,7.765464162801046e-08
46,95.0,1.0,0.31074172582265064
47,95.0,1.0,8.926827628034997e-10
48,95.0,1.0,0.00021230756452243313
49,95.0,1.0,5.6154947782019445e-12
50,95.0,1.0,0.00445041254225443
51,95.0,1.0,0.42449703428291485
52,95.0,1.0,0.0016157931071522954
53,95.0,1.0,1.0800563011923375e-06
54,95.0,1.0,1.3942926872049098e-10
55,95.0,1.0,4.674202810592938e-07
56,95.0,1.0,1.4129694234122914e-06
57,95.0,1.0,0.006711527569583654
58,95.0,1.0,5.765090071940785e-05
59,95.0,1.0,2.977647609622458e-06
60,95.0,1.0,2.122113447400209e-09
61,95.0,1.0,6.1751034104947975e-09
62,95.0,1.0,0.05903292694303519
63,95.0,1.0,0.07325772510918513
64,95.0,1.0,0.0032384396509643988
65,95.0,1.0,4.5544076200022995e-10
66,95.0,1.0,0.03841127798941891
67,95.0,1.0,9.992323760538396e-07
68,95.0,1.0,1.8785891494579122e-06
69,95.0,1.0,0.011854967477401902
70,95.0,1.0,5.893549529142874e-06
71,95.0,1.0,7.859889124512627e-09
72,95.0,1.0,0.000140589175389388
73,95.0,1.0,0.005443366791092533
74,95.0,1.0,1.3783519011333827e-09
75,95.0,1.0,6.89694778007513e-06
76,95.0,1.0,0.0382245764086438
77,95.0,1.0,3.723782755588031e-05
78,95.0,1.0,0.12267170806618688
79,95.0,1.0,1.3596723977332297e-09
80,95.0,1.0,2.217146115532605e-07
81,95.0,1.0,3.1746435666962542e-06
